abbreviate,[動]短縮する
aroma,[名]香り
arsenal,[名]兵器
artery,[名]動脈
articulate,[名]はっきり発音する
artillery,[名]大砲
asphalt,[名]アスファルト
assured,[名]保険金受取人
asthma,[名]ぜんそく
astound,[動]びっくり仰天させる
atrocity,[名]残虐行為
attempted,[形]未遂の
attributable,[形]起因する
audible,[形]聞き取れる
authenticity,[名]真正
autograph,[名]サイン
autonomous,[形]自治の、自主的な
aversion,[名]嫌悪感
awakening,[名]目覚め、気づくこと
aye,[名]肯定の答、賛成投票者
backfire,[名]逆火
backup,[名]裏打ち、支援
bacterial,[形]バクテリアの
baffle,[名]困惑
baptism,[名]洗礼
baptize,[動]洗礼を行う
barge,[名]平底荷船
bash,[名]強打
basil,[名]バジル
bastard,[名]いやなやつ
batsman,[名]打者
bead,[名]ビーズ
beastly,[形]いやな
beckon,[動]合図する
beige,[名]ベージュ色
bellow,[名]ほえ声、どなり声
beneficiary,[名]受益者
benevolent,[形]慈悲深い、優しい
benign,[形]温和な、優しい
beset,[動]包囲する、ふさぐ
besiege,[動]包囲する、押し寄せる
bibliography,[名]参考文献
billboard,[名]広告板
bingo,[名]ビンゴ
biochemistry,[名]生化学
birthright,[名]生得権
blackout,[名]停電
bladder,[名]膀胱
bland,[形]温和な、刺激のない
blinding,[名]おおい隠すもの
bloc,[名]圏、議員連合
bloke,[名]男
blunder,[名]大失敗
bolster,[名]長枕
bony,[形]骨ばった
booster,[名]後援者、熱狂的支持者
borrowing,[名]借用
bourgeois,[名]ブルジョア
bout,[名]勝負、競争
boutique,[名]ブティック
boyish,[形]少年のような
brag,[名]自慢話
braid,[名]編んだ髪
brewer,[名]醸造業者
brewery,[名]ビール醸造所
bridal,[名]結婚式
brigade,[名]団
briskly,[副]きびきびと
bristle,[名]剛毛
broth,[名]スープ
brutality,[名]残虐行為
buff,[名]もみ革
buildup,[名]強化、蓄積
bulge,[名]でっぱり
bumpy,[形]でこぼこの
bureaucrat,[名]官僚
bureaucratic,[形]官僚的な
burnout,[名]燃料枯渇
bustle,[名]大騒ぎ、ざわめき
butt,[名]残り
caddie,[名]キャディー
calculating,[形]抜け目のない
camper,[名]キャンプする人
candid,[名]スナップ写真
carbohydrate,[名]炭水化物
cardinal,[名]枢機卿
caricature,[名]風刺画、風刺文
cascade,[  ]小滝
casserole,[名]焼きなべ料理
catastrophic,[形]大惨事の
categorize,[動]分類する
causal,[形]原因の、因果関係の
cavity,[名]穴
cellular,[名]携帯電話
censure,[名]非難
centralization,[名]中央集権
ceramic,[形]陶器の
cerebral,[名]反転音
ceremonious,[形]儀式を重んじる
chic,[名]洗練、上品
childbearing,[名]出産
chisel,[名]彫刻刀
christen,[動]命名する
chuck,[名]軽くつつくこと
churn,[名]攪乳器
clam,[名]ハマグリ、二枚貝
clamber,[名]よじ登ること
clan,[名]氏族、一族
clarinet,[名]クラリネット
cliche,[名]陳腐な表現
clockwise,[形]時計回りの
clothesline,[名]物干し綱
clothespin,[名]洗濯ばさみ
coax,[動]おだてる
cobweb,[名]クモの巣
cod,[名]タラ
coexist,[動]共存する
coexistence,[名]共存
cognitive,[名]認知
cohesion,[名]結合、団結
colloquial,[形]口語的な
colossal,[形]巨大な
coma,[名]昏睡
commencement,[名]卒業式
commoner,[名]庶民
communal,[形]共同社会の、自治体の
complementary,[形]補足的な
complexion,[名]顔色
compliance,[名]遵守
complimentary,[形]優待の、無料の
composure,[名]落ち着き
compression,[名]圧縮
concealment,[名]隠すこと
concord,[名]協和音
concur,[動]同意する、是認する
confidentiality,[名]秘密性
configuration,[名]配置
conjunction,[名]連結、合同
connector,[名]連結器
consecutive,[形]連続的な
consign,[動]委託する、発送する
