mustache,[名]口ひげ
vulgar,[形]下品な、低俗な
wallpaper,[名]壁紙
wanderer,[  ]放浪者
ware,[名]瀬戸物、陶器
warfare,[名]交戦状態、戦争
warring,[形]敵対する
washcloth,[名]洗面用タオル
watering,[名]散水
waver,[動]揺れる
weary,[形]疲れた
weird,[形]変な、奇妙な
westward,[形]西に向かう
wheelchair,[名]車いす
wholesale,[名]卸し売り
wholesome,[形]健康そうな、健全な
willow,[名]柳
wintertime,[名]冬季
wither,[動]枯れる、萎える
withstand,[動]耐える
witty,[形]機知に富む
wreath,[名]花輪
wreck,[名]難破
wrestling,[名]レスリング
wretched,[形]惨めな
wring,[動]絞る
yarn,[名]糸
zeal,[名]熱意
zealous,[形]熱心な
zip,[動]ファスナーを締める 
abbreviate,[動]短縮する
abort,[動]中止になる
abstraction,[名]抽象概念
absurdity,[名]ばかげた行為
acceleration,[名]加速度
acoustic,[名]音響学
activate,[動]活動的にする
actuality,[名]現実、実在
addicted,[形]常習的な
addictive,[形]習慣性の
adequacy,[名]適切さ
adherence,[名]執着，忠実
adjacent,[形]隣接する
admittance,[名]入場許可
admittedly,[副]明らかに
adorable,[形]愛らしい、魅力的な
adornment,[名]装飾品
adversity,[名]逆境
aerobic,[形]エアロビクスの
afar,[副]遠くに
affected,[形]影響を受けた
affirmation,[名]肯定、宣誓
affix,[動]添付する 
affluent,[形]豊富な
aggravate,[動]悪化させる
aggressor,[名]侵略者
agitate,[動]動揺させる
agonizing,[形]苦しい
ailment,[名]病気
akin,[形]類似して
alienate,[動]疎外する
alienation,[名]疎外感
allergic,[形]アレルギーの
allergy,[名]アレルギー
allocation,[名]割り当て
allot,[動]割り当てる
aloof,[形]離れて
alpine,[形]高山の
alternately,[副]交替で
amenity,[名]快適さ
amiable,[形]親しみやすい
amplify,[動]拡大する
analogous,[形]似ている
anarchist,[名]無政府主義者
anarchy,[名]政治的混乱、無秩序
anecdote,[名]逸話、秘話
angelic,[形]天使のような
animate,[動]生命を与える
animated,[形]生きているような
antiquity,[名]古いこと
anytime,[副]いつでも
apathy,[名]無感動、無関心、冷淡
apiece,[副]個々に
apprehend,[動]理解する
apprenticeship,[名]徒弟期間
aptitude,[名]才能、適性
aquatic,[形]水生の
archbishop,[名]大司教、大主教
armful,[名]腕一杯
artful,[形]巧妙な
assassin,[名]暗殺者
assassination,[名]暗殺
assertive,[形]断言的な
assimilate,[動]同化する
astray,[副]道に迷って
astronomical,[形]天文学的な
attest,[動]証明する
auditor,[名]会計検査官、聴講生
authoritarian,[名]権威主義者
automate,[動]自動化する
automotive,[形]自動車の
avalanche,[名]雪崩
avert,[動]そらす 
awesome,[形]畏敬の念に満ちた
badger,[名]アナグマ
banjo,[名]バンジョー
barbarism,[名]野蛮
barometer,[名]気圧計
barter,[動]物々交換する
battlefield,[名]戦場
beet,[名]ビート、ビートの根
behavioral,[形]行動の
bellboy,[名]ボーイ
beta,[名]ベータ
billiards,[名]ビリヤード
bin,[名]容器、貯蔵所
binder,[名]バインダー
biotechnology,[名]生物工学
bitch,[名]あばずれ女
bizarre,[形]奇怪な
blacken,[動]黒くする
blizzard,[名]大吹雪
blooming,[形]花が咲いている
boarder,[名]下宿人
boarding,[名]搭乗
bog,[動]動きが取れない
bomber,[名]爆撃手
bondage,[名]苦役、強制労役
bonfire,[名]たき火
boon,[名]恩恵、恵み
botanist,[名]植物学者
bottomless,[形]底なしの
boulder,[名]大きな丸い石
boulevard,[名]大通り
bowler,[名]ボウリングをする人
bran,[名]ぬか
breeder,[名]飼育者
breeding,[名]繁殖、教養
briefing,[名]簡潔な説明
broadcaster,[名]放送者
browse,[動]拾い読みする 
buck,[名]ドル
burdensome,[形]煩わしい
bust,[動]破産する
butler,[名]執事
cameraman,[名]映画・テレビの撮影技師
camouflage,[動]偽装を施す
canon,[名]戒律，規範
captivate,[動]魅了する
carefree,[形]心配のない
caretaker,[名]管理人
carol,[名]喜びの歌
carp,[名]鯉
casting,[名]鋳物
caterpillar,[名]イモムシ、キャタピラー
cauliflower,[名]カリフラワー
ceaseless,[形]絶え間のない
cedar,[名]ヒマラヤスギ
celestial,[形]天体の
censor,[名]検閲官
censorship,[名]検閲、検閲制度
centralize,[動]中心に集まる
champagne,[名]シャンパン
chant,[名]歌、聖歌
chauffeur,[名]運転手
cheeky,[形]生意気な
cheery,[形]上機嫌の、陽気な
childbirth,[名]出産
childless,[形]子供のない
cholesterol,[名]コレステロール
chronic,[形]慢性の、常習の
chronicle,[名]年代記、記録
chunk,[名]かなりの量
circumstantial,[形]状況の
cleanliness,[名]清潔
clearance,[名]清算、在庫一掃
clog,[動]詰まらせる
coastline,[名]海岸線
cocaine,[名]コカイン
coherence,[名]首尾一貫性
coke,[名]コカコーラ
collaborate,[動]協力する
collaboration,[名]協力
colon,[名]コロン
commemorate,[動]記念となる
commercialism,[名]営利主義
commune,[動]親しく交わる
communicator,[名]伝達者
compassionate,[形]情け深い
complacent,[形]自己満足の
comprehensible,[形]わかりやすい
compulsion,[名]衝動
compulsive,[形]強迫観念にとらわれた
computing,[形]コンピュータの
conceited,[形]うぬぼれの強い
condemnation,[名]非難
conditioner,[名]空気調節装置
conditioning,[名]調整、条件付け
conformity,[名]服従、従順
confound,[動]混乱させる
congenial,[形]気性の合った
congestion,[名]混雑
conjecture,[名]推測、判読
connected,[形]連結した、連続した
consolation,[名]慰め
constable,[名]治安官、巡査
constituency,[名]選挙民
constituent,[形]憲法制定の
contaminant,[名]汚染物質
contamination,[名]汚染
contemptuous,[形]人をばかにした
contention,[名]論点
contestant,[名]論争者、競争相手
contour,[形]等高を示す
contradictory,[形]矛盾した
converse,[形]逆の
conversely,[副]逆に
copyright,[名]著作権
cosmic,[形]宇宙の
cowardice,[名]臆病
crave,[動]切望する
credibility,[名]信用、信頼性
crescent,[名]三日月
crest,[名]鳥のとさか
crimson,[形]あかね色の
crumble,[動]崩壊する、砕ける
crunch,[動]バリバリかむ
cuddle,[動]寄り添う
cuisine,[名]料理
cult,[形]新興宗教の
cultivator,[名]耕作者
curb,[名]縁石
curfew,[名]門限
cynical,[形]あざ笑って
dabble,[動]道楽半分で手を出す
daffodil,[名]ラッパズイセン
damned,[形]いまいましい
darn,[動]つくろう
daze,[動]ぼう然とさせる
debatable,[形]論争の余地がある
deceptive,[形]人をだますような
decree,[名]法令
deduct,[動]差し引く
deduction,[名]控除
defenseless,[形]無防備の
deform,[動]ゆがめる
degrade,[動]品位を落とす
denote,[動]表示する
denounce,[動]非難する
deposition,[名]堆積物
depot,[名]貯蔵所，倉庫
designation,[名]指示
desirous,[形]望んで
detain,[動]留置する
detection,[名]発見
deter,[動]阻止する
deteriorate,[動]悪化させる
devalue,[動]通貨安になる
devoid,[形]欠けている
devotee,[名]熱愛者
diabetes,[名]糖尿病
dictatorship,[名]独裁政治
differential,[形]格差の
diffuse,[動]拡散させる
digit,[名]アラビア数字
dilute,[動]水で薄める
din,[動]鳴り響く
dioxide,[名]二酸化物
disclosure,[名]情報公開
disconnect,[動]接続を断つ
discord,[名]不和、不一致
discourse,[名]講話、論説
discoverer,[名]発見者
discreet,[形]分別のある
disfigure,[動]美を損なう
disobedient,[形]従順でない
disruptive,[動]秩序を乱す
dissent,[名]不賛成、異議
distaste,[名]嫌うこと
distill,[動]蒸留する
distortion,[名]歪み
distracted,[形]乱れた、取り乱した
diverge,[動]分岐する
dogma,[名]教義
downfall,[名]衰退
downstream,[形]下流に
doze,[動]居眠りする
dreamer,[名]空想家
dreary,[形]物寂しい
droop,[動]うなだれる
drought,[名]干ばつ
dub,[動]吹き替える
dubious,[形]半信半疑の、疑わしい
duchess,[名]公爵夫人
duplicate,[形]複製の
dynasty,[名]王朝
earthworm,[名]ミミズ
ebb,[名]引き潮
eclipse,[名]食
ecstatic,[形]有頂天の
effortless,[形]努力を要しない
egoist,[名]利己主義者
egoistic,[形]利己主義の
elaboration,[名]手の込んでいること
elasticity,[名]弾力
electrify,[動]電化する
elemental,[形]自然の力による
embody,[動]具体化する
emigrant,[名]移民
empower,[動]能力を与える
empress,[名]皇后、女帝
encircle,[動]取り巻く
endorsement,[名]承認、裏書
enlargement,[名]拡大
enlighten,[動]教化する、啓蒙する
enmity,[名]憎しみ、悪意
enrage,[動]激怒させる
enrichment,[名]強化
enrollment,[名]登録
entice,[動]そそのかしてさせる
entrust,[動]委託する 
environmentalist,[名]環境保護論者
epic,[名]大作
erroneous,[形]誤った
erupt,[動]噴火する
ethic,[名]倫理
evacuate,[動]避難する
evacuation,[名]避難
evade,[動]逃れる、回避する
evaporate,[動]蒸発する
eventful,[形]出来事の多い
evergreen,[名]常緑樹
evoke,[名]喚起する
evolutionary,[形]進化の
exceeding,[形]非常な，すばらしい
excerpt,[名]抜粋
exempt,[動]免除する
exemption,[名]免除
exertion,[名]努力
extended,[形]長期にわたる
extinction,[名]絶滅
extravagance,[名]浪費
fabulous,[形]信じられないほど
faithless,[形]不誠実な
fatherland,[名]祖国
feat,[名]偉業
feudal,[形]封建制の
fictional,[形]作り事の
fingertip,[名]指先
fishy,[形]怪しい
fixture,[名]定着物、備品
flair,[名]勘、才能
flashing,[名]閃光
flaw,[名]不備、欠陥
flea,[名]ノミ
floating,[形]流動的な
footnote,[名]脚注
forcible,[形]力ずくの
fore,[形]前方の
forearm,[動]あらかじめ武装する 
forefinger,[名]人差し指
foreground,[名]前景
foreseeable,[形]予見できる
foretell,[動]予言する
fragrant,[形]香りのよい
freak,[名]変人、ファン
freezing,[形]非常に寒い
freshen,[動]さっぱりした気持ちにさせる
frivolous,[形]取るに足りない
frontal,[形]正面の
frugal,[形]倹約な
fusion,[名]融合
futile,[形]無駄な、効果のない
gaily,[副]陽気に
generator,[名]発電機、発生器
generic,[形]一般的な
gentry,[名]紳士階級
geological,[形]地質学の
germ,[名]病原菌
gifted,[形]才能のある
glisten,[動]きらきら輝く
godmother,[名]教母、女保護者
gorge,[名]峡谷
granddad,[名]祖父
grandeur,[名]壮麗、壮観
grasshopper,[名]バッタ
gratification,[名]満足すること
gravel,[名]砂利
gravestone,[名]墓石
gravy,[名]肉汁
grotesque,[形]異様な
gunpowder,[名]火薬
gust,[名]突風
gutter,[名]樋、排水溝
ha,[名]驚き・悲しみ・喜びを表す
handmade,[形]手作りの
harass,[動]悩ます
harness,[動]馬具でつなぐ 
haven,[名]避難所
hazardous,[形]危険な
haze,[名]霞
hazy,[形]かすんだ
headdress,[名]頭飾り
heath,[名]ヒース
hectic,[形]熱狂的な
heiress,[名]相続人
herald,[名]先駆者、先触れ
heredity,[名]遺伝
heroism,[名]英雄的精神
herring,[名]ニシン
highness,[名]高位、殿下
hippie,[名]ヒッピー
hoe,[名]くわ
holly,[名]セイヨウヒイラギ
holocaust,[名]大虐殺
homosexuality,[名]同性愛
honk,[名]自動車の警笛
hoot,[動]叫ぶ、やじる
hormone,[名]ホルモン
horrid,[形]恐ろしい
hospice,[名]ホスピス
hospitable,[形]もてなしのよい
hover,[名]空に舞うこと
humane,[形]思いやりのある
humanist,[名]人文学者
hygiene,[名]衛生
hypocrite,[名]偽善者
icon,[名]偶像、アイコン
idealist,[名]理想主義者
idly,[副]無益に、無為に
