hint,[名]ほのめかし、ヒント
obvious,[形]明らかな
occupy,[動]占める、占有する
occur,[動]起こる
odd,[形]奇妙な
offend,[動]感情をそこなう
offense,[名]違反
olive,[名]オリーブ
omelette,[名]オムレツ
onto,[前]の上へ
opening,[名]開くこと、開設
operate,[動]機能する
operation,[名]運転、事業
operator,[名]交換手、操作者
opportunity,[名]機会
oppose,[動]反対する
option,[名]選択、選択肢
orchestra,[名]オーケストラ
ordinary,[形]普通の
organ,[名]器官、臓器
organization,[名]組織
original,[形]初期の、独創的な
otherwise,[副]別な方法で
outdoor,[形]戸外の
overcoat,[名]オーバーコート
overnight,[形]一泊の
pace,[名]速度、ペース
paid,[形]有給の
pale,[形]青ざめた
palm,[名]手のひら
pancake,[名]ホットケーキ
paradise,[名]楽園、エデンの園
parcel,[名]包み、小包、小荷物
parking,[名]駐車
particularly,[副]特に、著しく
partner,[名]共同経営者
passion,[名]情熱、熱中
pat,[動]軽くたたく
patch,[名]つぎあて
patience,[名]忍耐
patrol,[名]巡回
payment,[名]支払い
pear,[名]西洋ナシ
pence,[名]ペニー
penny,[名]ペニー
per,[前]～あたり
percentage,[名]割合、率
perfectly,[副]完璧に、完全に
performance,[名]仕事ぶり、業績
permanent,[形]永久的な
permission,[名]許可
personality,[名]個性、性格
photography,[名]写真術、写真撮影
phrase,[名]慣用句、言い回し
physical,[形]物質の、肉体の
physics,[名]物理学
pianist,[名]ピアニスト
pigeon,[名]鳩
pile,[名]（積まれた）山
pill,[名]錠剤
pistol,[名]ピストル
pitcher,[名]投手
pity,[名]哀れみ、残念な事
planning,[名]計画、立案
playground,[名]運動場、遊び場
plum,[名]プラム
plus,[前]加えて
poetry,[名]詩
pointed,[形]尖った、厳しい
political,[形]政治の
politician,[名]政治家
politics,[名]政治、政界
pop,[動]ポンと鳴る
population,[名]人口
porch,[名]玄関
pose,[名]姿勢、見せ掛け
possess,[動]所有する
possibly,[副]もしかしたら
postcard,[名]葉書
postman,[名]郵便配達員
practically,[副]実際に、ほとんど
prayer,[名]祈り
presence,[名]存在、現存
pressure,[名]圧力
pretend,[動]ふりをする
previous,[形]前の
principal,[形]主要な、主な
principle,[名]法則、原理
printer,[名]印刷機
probable,[形]起こりそうな
producer,[名]生産者
production,[名]生産、生産量
profession,[名]職業
project,[名]プロジェクト
promising,[形]有望な、期待できる
properly,[副]適切に、正しく
property,[名]所有物、土地
proposal,[名]提案
protest,[動]主張する、抗議する
pub,[名]パブ
pudding,[名]プリン
pump,[動]水をくみ出す
pumpkin,[名]カボチャ
punishment,[名]刑罰、罰
quality,[名]品質
quarrel,[名]口げんか、口論
raincoat,[名]レインコート
range,[名]範囲
rapidly,[副]速く
rare,[形]珍しい
rarely,[副]めったに～しない
ray,[名]光線、視線
reaction,[名]反応
reading,[名]読み物、記事
reality,[名]現実、事実
receipt,[名]領収書
recent,[形]最近の、新しい
recognize,[動]認識する
recommend,[動]推薦する
recorder,[名]レコーダー
reduce,[動]減少する、引き下げる
refer,[動]言及する
reflect,[動]反射する、映す
reform,[動]改正する
refrigerator,[名]冷蔵庫
refuse,[動]断る
regret,[名]後悔、悔恨
regulation,[名]規則
reject,[動]拒否する
relate,[動]関連させる
relation,[名]関係、関連
relationship,[名]関係、結びつき
relative,[形]相対的な
relax,[動]楽にする、緩める
release,[動]解放する、自由にする
relief,[名]取り除くこと、安心
religion,[名]宗教、信仰
religious,[形]宗教的な
rely,[動]頼る、信頼する
remind,[動]思い出させる
rent,[動]賃借する
replace,[動]取り替える
represent,[動]代理をする、代表する
require,[動]要求する、必要とする
research,[名]調査、研究
respond,[動]答える
response,[名]応答、反応
responsibility,[名]責任、責務
retire,[動]引退する
review,[動]再検討する、復習する
revolution,[名]革命
reward,[名]報酬
rhythm,[名]リズム、音律
rid,[動]取り除く
risk,[名]危険、リスク
rival,[名]競争相手
roast,[動]ローストする
rob,[動]奪う
robber,[名]強盗
robe,[名]バスローブ
rod,[名]棒、釣りざお
romantic,[形]ロマンチックな
roughly,[副]おおよそ
rub,[動]こする
rubber,[名]ゴム
rude,[形]失礼な、無礼な
ruin,[動]破滅させる
sack,[名]ひと袋
sadly,[副]悲しんで
safely,[副]安全に
sake,[名]目的、利益
sales,[名]販売、売上（高）
salesman,[名]セールスマン
sample,[名]見本、試供品
sandal,[名]サンダル
satisfy,[動]満足させる
saucer,[名]受け皿
sausage,[名]ソーセージ
saving,[名]節約
saw,[名]のこぎり
scale,[名]目盛り
scarf,[名]スカーフ
schedule,[名]予定表、計画表
scissors,[名]はさみ
screen,[動]さえぎる
screw,[名]ねじ
seafood,[名]海産食品
search,[動]探す
seashore,[名]海岸
seaside,[名]海岸
secondly,[副]第二に、次は
section,[名]部分、切片
security,[名]安全、安全確保
seed,[名]種
seek,[動]探す
seldom,[副]めったに～しない
select,[動]選ぶ
selection,[名]選択
self,[名]自己、自分自身
selfish,[形]利己的な
senior,[形]～より年上
sensible,[形]知覚できる
sensitive,[形]敏感な
series,[名]一続き
seriously,[副]真剣に、ひどく
setting,[名]月、日が沈むこと
settle,[動]解決する
sexual,[形]性の、性的な
shame,[名]恥ずかしい思い
sharply,[副]鋭く、急に
shave,[動]そる
shelf,[名]棚
shell,[名]貝、外皮、殻
shopkeeper,[名]店主、商人
shy,[形]内気な、用心深い
sickness,[名]病気
sigh,[動]ため息をつく
signature,[名]署名
silently,[副]静かに
simply,[形]質素な、簡単な
sincere,[形]誠実な
sincerely,[副]心から
singing,[名]歌
situation,[名]状況、境遇
sketch,[名]スケッチ、略図
sketchbook,[名]スケッチブック
skill,[名]技能、技術
slave,[名]奴隷
slice,[名]薄片、一切れ
slight,[形]わずかな
slightly,[副]わずかに
slope,[名]斜面、坂
smart,[形]頭の良い、賢明な
softly,[副]柔らかに、静かに
soil,[名]土壌
somehow,[副]どうにか
sometime,[副]いつか
somewhat,[副]多少、いくらか
sore,[形]痛い
soul,[名]魂、精神
sour,[形]酸っぱい
southern,[形]南の、南部の
specialist,[名]専門家、専門医
specially,[副]特別に
specific,[形]明白な、明確な
speedy,[形]速い
spice,[名]香辛料、薬味
spin,[動]つむぐ
split,[動]割る、裂く
spoil,[動]だめにする
sportsman,[名]スポーツマン
spy,[名]スパイ
stadium,[名]競技場、野球場
staff,[名]職員、社員
statement,[名]陳述、述べること
statue,[名]像
steady,[形]固定した
stewardess,[名]客室乗務員
stiff,[形]硬い、硬直した
stock,[名]在庫品、仕入れ品
stocking,[名]ストッキング
stolen,[形]盗まれた
stove,[名]料理用レンジ、ストーブ
stress,[名]ストレス、重圧
strict,[形]厳しい
string,[名]ひも
stroke,[名]一撃
structure,[名]構造
studio,[名]撮影室、アトリエ
suck,[動]吸う
suffering,[名]苦しみ、苦痛
sufficient,[形]十分な
suggestion,[名]提案、示唆
suitable,[形]ふさわしい、適切な
sum,[名]合計、総額・数量
sunny,[形]日当たりのよい
sunrise,[名]日の出
supply,[動]供給する
supporter,[名]支持者、応援する人
suppose,[動]推測する、思う
surface,[名]表面
surprising,[形]驚くべき
surround,[動]囲っている
survive,[動]生き残る
suspect,[動]疑う
swear,[動]宣誓する
sweatshirt,[名]スウェットシャツ
sweep,[動]掃除する
swell,[動]膨張する
swimmer,[名]水泳選手
sympathy,[名]同情
tablecloth,[名]テーブル掛け
tailor,[名]仕立屋
tale,[名]物語
talent,[名]才能
tank,[名]タンク、水槽
tap,[動]軽くたたく
target,[名]標的、目標
teaching,[名]指導
teacup,[名]ティーカップ
teammate,[名]チームメイト
teapot,[名]ティーポット
technical,[形]技術の
technique,[名]技術、技法
technology,[名]技術
telegram,[名]電報
telescope,[名]望遠鏡
temper,[名]気性、平常心
temperature,[名]温度
temporary,[形]臨時の、一時的な
tend,[動]傾向がある
terribly,[副]ひどく、たいへん
theory,[名]理論
therefore,[副]ゆえに、その結果
thread,[名]糸
threat,[名]脅威、脅し
threaten,[動]脅す、脅かす
throughout,[副]始めから終わりまで
thunder,[名]雷
thus,[副]こうして
tightly,[副]堅く、しっかりと
timetable,[名]時刻表
tin,[名]スズ
toast,[名]トースト
tone,[名]口調、音色
toss,[動]軽く投げる
totally,[副]まったく、完全に
tough,[形]頑丈な、タフな
tradition,[名]伝統、しきたり
traditional,[形]伝統的な
transfer,[動]移転する
translate,[動]翻訳する
transport,[動]運ぶ
trap,[名]わな、計略
traveler,[名]旅行家、
tray,[名]盆、盛り皿
treasure,[名]宝物
treat,[動]待遇する、取り扱う
trend,[名]傾向、動向
trial,[名]裁判
triangle,[名]三角形
trousers,[名]ズボン
truly,[副]正しく
trunk,[名]幹
tune,[名]曲、正しい音程
twist,[動]ねじる
typewriter,[名]タイプライター
typical,[形]典型的な、独特な
typist,[名]タイピスト
ugly,[形]醜い
underground,[形]地下の
underneath,[副]下に
unexpected,[形]予期せぬ
unfortunate,[形]不運な
union,[名]結合、組合
unique,[形]ユニークな
unit,[名]単位、ユニット
universe,[名]宇宙
unknown,[形]未知の、不明の
unlucky,[形]不幸な
unusual,[形]珍しい
upset,[形]気が動転して
useless,[形]無駄な
user,[名]利用者
vague,[形]漠然とした
variety,[名]多様（性）
various,[名]様々な
vase,[名]花瓶、瓶、つぼ
vast,[形]広大な、莫大な
vehicle,[名]乗り物、伝達手段
vest,[動]与える
victim,[名]被害者、犠牲者
victory,[名]勝利、優勝
vinegar,[名]酢、食用酢
violence,[名]暴行、暴力
violinist,[名]バイオリニスト
visa,[名]査証、ビザ
vision,[名]視力、視界
visual,[形]視覚の
vitamin,[名]ビタミン
volume,[名]量、売買高
wage,[名]賃金
wagon,[名]ワゴン
waist,[名]ウエスト
waiting,[名]待つこと
walking,[名]散歩、歩道
wallet,[名]財布
watermelon,[名]スイカ
wax,[名]ワックス、蝋
weakness,[名]弱さ、弱点
wealthy,[形]裕福な
weapon,[名]武器、攻撃の手段
weekday,[名]平日
weep,[動]泣く
whale,[名]クジラ
whatever,[代]何でも
wheat,[名]小麦
whenever,[接]いつでも
wherever,[接]する所はどこでも
whichever,[代]どれでも
whistle,[名]警笛、笛、ホイッスル
whoever,[代]～する人は誰でも
widely,[副]広範囲に
wildly,[副]乱暴に
winner,[名]勝者
winning,[形]勝者である
witness,[名]証人、目撃者
worm,[名]虫
wound,[名]傷
wrap,[動]包む
wrist,[名]手首、そで口
written,[形]書いた
yacht,[名]ヨット
yell,[動]叫ぶ
yogurt,[名]ヨーグルト
zone,[名]地帯、区域
aboard,[副]乗り物に乗って
absolutely,[副]絶対に、完全に
absorb,[動]吸収する
abstract,[形]抽象的な
abuse,[名]乱用、虐待
acceptable,[形]容認できる
acceptance,[名]受け入れること
accessory,[名]アクセサリー
accomplish,[動]成し遂げる
accord,[動]一致する
accurate,[形]正確な
accuse,[動]責める、非難する
ache,[動]痛む
achievement,[名]達成
acid,[形]酸味のある
acquaintance,[名]知人、知識
acquire,[動]習得する 
acre,[名]エーカー
acting,[名]実演，演出、演技
actively,[副]活発に
adapt,[動]適応する
adjust,[動]調節する、調整する
adjustment,[名]調整
administration,[名]行政、政府
admiration,[名]感嘆
admission,[名]入学・入会金
advanced,[形]発達した
advertisement,[名]広告
affection,[名]愛情
aged,[形]老齢の
agricultural,[形]農業の
agriculture,[名]農業
alien,[形]外国の
alter,[動]変える
alternative,[形]二者択一の、代わりの
amateur,[名]アマチュア
amaze,[動]驚かす
amazing,[形]驚くほどの
ambition,[名]野心、大望
ambitious,[形]野心的な
amuse,[動]面白がらせる
amusement,[名]楽しみ
amusing,[形]面白い
analyze,[動]分析する、解析する
ancestor,[名]先祖
anchor,[名]錨
ancient,[形]昔の
anniversary,[名]記念日
annual,[形]一年の
antique,[形]骨董の
anxiety,[名]不安、心配
apologize,[動]謝る
apology,[名]謝罪
apparent,[形]明らかな
apparently,[副]どうやら～らしい
appetite,[名]食欲
appreciate,[動]ありがたく思う
appropriate,[形]適切な
approval,[名]承認
apricot,[名]アンズ
apt,[形]…しがちな
aquarium,[名]水族館
artificial,[形]人工的な
artistic,[形]芸術的な
ash,[名]灰、燃え殻
ashtray,[名]灰皿
asking,[名]求めること
aspect,[名]側面、局面
ass,"[名]尻
assert,[動]断言する、主張する
associate,[動]連想する
association,[名]共同，提携
assume,[動]仮定する
assure,[動]保証する
athlete,[名]運動選手
athletic,[形]運動の
atmosphere,[名]雰囲気
attraction,[名]魅力
automatically,[副]自動的に
await,[動]待つ
award,[動]賞などを与える 
awfully,[副]とても
ax,[名]おの
bamboo,[名]竹
ban,[動]禁止する
banking,[名]銀行業
barely,[副]かろうじて
barrel,[名]樽
basically,[副]基本的に
basin,[名]洗面器
beam,[名]光線
beaver,[名]ビーバー
bedside,[名]ベッドの傍ら
beggar,[名]乞食、貧乏人
behavior,[名]振る舞い、行動、習性
beloved,[名]最愛の人
berry,[名]ベリー
betray,[動]裏切る
billion,[名]10億
bite,[動]噛む
bitterly,[副]ひどく
blade,[名]刃
bleed,[動]出血する
blend,[動]混ぜ合わせる
blessing,[名]祝福、恵み
bloody,[形]血なまぐさい
bloom,[名]花、花盛り
blossom,[名]花
blush,[動]顔を赤らめる
bodyguard,[名]ボディーガード
boiler,[名]ボイラー
bolt,[動]ボルトで止める 
bond,[名]結束、束縛
bonus,[名]ボーナス、予期しない物
booklet,[名]小冊子
bother,[動]悩ます
boundary,[名]境界線
brandy,[名]ブランデー
brass,[名]真ちゅう
breakdown,[名]崩壊
breeze,[名]そよ風
bride,[名]花嫁
brief,[形]短い、簡潔な
briefcase,[名]ブリーフケース
briefly,[副]手短に、少しの間
bud,[名]芽、つぼみ
budget,[名]予算
bulldozer,[名]ブルドーザー
burden,[名]荷物、重荷
butcher,[名]肉屋
buyer,[名]バイヤー、買い手
cabin,[名]小屋、客室
cabinet,[名]内閣
calculate,[動]計算する
camel,[名]ラクダ
campaign,[名]運動、遊説
canal,[名]運河
cancer,[名]癌
capable,[形]有能な
capacity,[名]能力、力量
capture,[動]捕らえる
cardigan,[名]カーディガン
catalog,[名]カタログ
category,[名]種類、部門
cattle,[名]畜牛、ウシ
caution,[名]用心、警戒
cave,[名]洞窟、洞穴
celery,[名]セロリ
cement,[名]セメント
characteristic,[形]特徴的な
charity,[名]慈善行為
charm,[名]魅力、魔力
cheat,[動]だます
cheerleader,[名]チアリーダー
chef,[名]シェフ、コック、料理人
chemist,[名]化学者
chemistry,[名]化学
chess,[名]チェス
chew,[動]かむ
chiefly,[副]主に
childish,[形]子供じみた
chill,[名]冷え、悪寒
chop,[動]切り倒す
chosen,[動]chooseの過去分詞
Christian,[形]キリスト教の
circuit,[名]回路、回線
circumstance,[名]状況、事情
civil,[形]市民の、内政の
clap,[名]拍手
classical,[形]古典の
clip,[動]クリップで留める 
closet,[名]収納室、戸棚
coach,[名]指導員、コーチ
cock,[名]おんどり
code,[名]暗号、コード
collapse,[動]崩壊する
colony,[名]植民地、集団
column,[名]支柱、縦列
combine,[動]結合する
comedy,[名]喜劇
command,[動]命令する
commerce,[名]商業、通商
commission,[名]手数料
commit,[動]犯す
comparison,[名]比較、類似
compete,[動]競う
competitor,[名]競合相手
complicated,[形]複雑な
component,[名]構成要素
composer,[名]作曲家
compound,[動]混ぜ合わせる
concentrate,[動]集中する
concentration,[名]集中
concerned,[形]関係している
concerning,[前]…に関して
conclude,[動]結論づける
conclusion,[名]結論、結末
conference,[名]会議、協議会
confess,[動]告白する
confession,[名]告白
confident,[形]確信して
conflict,[名]争い、衝突
congress,[名]議会
conquer,[動]征服する
conscience,[名]良心
consciousness,[名]意識
consequence,[名]結果、影響
consideration,[名]熟慮、考慮
consist,[動]成り立っている
constant,[形]一定の
constantly,[副]絶えず
constitution,[名]憲法、規約
construct,[動]建設する
construction,[名]建設
container,[名]コンテナ
contest,[名]競争、競技
context,[名]文脈、前後関係
contrary,[形]反対の
contrast,[名]相違、対照
contribution,[名]貢献、寄付（金）
convenience,[名]便利さ
convention,[名]大会、集会
conventional,[形]慣習的な、型にはまった
convince,[動]納得させる、確信させる
convinced,[形]確信させる
cooperation,[名]協力
cop,[名]警官
cord,[名]紐、コード
corporate,[形]法人の、企業の
corporation,[名]企業
correctly,[副]正しく
cosmos,[名]宇宙
cottage,[名]小さな家、小別荘
council,[名]会議，協議
counter,[名]カウンター
countryman,[名]同国人，同郷の人
county,[名]郡
coward,[名]臆病
craft,[名]技能、技術
crawl,[動]腹ばって進む
creep,[動]はって進む
crisis,[名]危機、重大局面
critical,[形]重大な、決定的な
criticism,[名]批判、批評
criticize,[動]批判する、批評する
crossing,[名]横断、踏み切り
crossword,[名]クロスワードパズル
crow,[名]カラス
cruelty,[名]残酷な行為
crystal,[名]水晶
cultural,[形]文化の
curiosity,[名]好奇心
curious,[形]好奇心の強い
current,[形]現在の、流行している
cute,[形]かわいい
cutting,[名]切り傷、切ること
dam,[名]ダム
darling,[名]いとしい人
dash,[動]突進する
deadly,[形]致命的な、致死の
dealer,[名]販売人
debate,[動]討論する
debt,[名]債務
decade,[名]10年間
decay,[名]腐朽、腐食
deceive,[動]だます
declare,[動]断言する、宣言する
decline,[名]減退、減少
decorate,[動]飾る
deed,[名]行為
define,[動]定義する
definite,[形]確定した、明確な
definitely,[副]明確に、きっぱりと
definition,[名]定義
delicate,[形]優美な、繊細な
delivery,[名]配送、配達
demonstrate,[動]証明する、実演する
depart,[動]出発する
departure,[名]出発
dependent,[形]頼って，扶養されて
deposit,[動]預金する
descend,[動]下る、傾斜する
desirable,[形]望ましい、魅力的な
despair,[名]絶望
despite,[前]…にもかかわらず 
dessert,[名]デザート
destination,[名]行き先、目的地
destruction,[名]破壊
detailed,[形]詳しい、詳細な
detective,[名]刑事、探偵
determination,[名]決断力、決意
determined,[形]決心して
developing,[形]開発途上にある
differ,[動]異なる、意見を異にする
digest,[動]消化する
digital,[形]デジタルの
disadvantage,[名]不利、不便
disagree,[動]争う、意見が合わない
disaster,[名]災害、災難
discipline,[名]規律、鍛錬
discourage,[動]思いとどまらせる
distinct,[形]明確な、独特な
distinguish,[動]見分ける、区別する
distribute,[動]分配する、配布する
dive,[動]潜水する
diver,[名]潜水夫
division,[名]部門、分割
doorbell,[名]呼び鈴
doorway,[名]戸口
dot,[名]点
draft,[名]下書き、下図
drag,[動]引きずる
dragon,[名]竜，ドラゴン
dressing,[名]包帯，手当て用品
dried,[形]干からびた
drift,[動]漂流する
drinker,[名]酒飲み
driving,[形]推進する
dumb,[形]驚いてものが言えないほど
dusty,[形]ほこりっぽい
dynamic,[形]生き生きした
echo,[名]こだま、反響
edition,[名]版
editor,[名]編集者
efficiency,[名]能率、効率
efficient,[形]効率的な、有能な
elderly,[形]かなり年配の
electrical,[形]電気に関する
electrician,[名]電気工、電気技師
electronic,[形]電子の
emerge,[動]出てくる、現れる
emergency,[名]緊急、緊急事態
emotional,[形]感情的な、感情の
emperor,[名]皇帝、天皇
emphasis,[名]重要さ、強調
emphasize,[動]強調する
empire,[名]帝国
enable,[動]可能にする
enclose,[動]囲む、同封する
encounter,[動]出会う
endless,[形]終わりのない、無限の
endure,[動]耐える
engage,[動]従事する，携わる
engaged,[形]婚約している
engagement,[名]約束
enjoyable,[形]楽しい
enjoyment,[名]楽しみ
enormous,[形]巨大な、莫大な
enterprise,[名]事業、企業
enthusiasm,[名]熱心、熱意
enthusiastic,[形]熱心な
entry,[名]入ること、入れること
envy,[動]ねたむ
episode,[名]エピソード
era,[名]時代
essence,[名]本質
essentially,[副]本質的に、本来
establishment,[名]設立
estate,[名]私有地、土地
estimate,[動]評価する、見積もる
eve,[名]祭日の前夜
eventually,[副]いつかは、結局は
evident,[形]明らかな
excess,[名]過剰、超過
exhibit,[動]展示する
exhibition,[名]展示、展覧会
existence,[名]存在
existing,[形]現存する
expand,[動]拡大する、広げる
expectation,[名]期待、予想
explode,[動]爆発する、破裂する
explosion,[名]爆発
expose,[動]暴露する
extend,[動]伸ばす、延長する
extension,[名]延長
extent,[名]範囲、程度
external,[形]外部の，外の
extraordinary,[形]並はずれた、非凡な
extreme,[形]極度の，非常な
factor,[名]要因、因子
fade,[動]あせる、消えていく
faint,[形]めまいがして
faithful,[形]忠実な，誠実な
fallen,[形]落ちた、落下した
fame,[名]名声、有名なこと
farming,[名]農業
farthest,[形]最も遠い
fasten,[動]締める
fatal,[形]致命的な、死に至る
fate,[名]運命
favorable,[形]好意的な、好ましい
fearful,[形]恐れて
fiction,[名]小説、作り事
filter,[名]ろ過器
finding,[名]発見物
finishing,[名]最後の仕上げ
fist,[名]握りこぶし
fitting,[形]適当で，適切で
flame,"[動]炎を出す
flavor,[名]味
flee,[動]逃げる、避ける
flesh,[名](人間・動物の)肉
flying,[形]空を飛ぶ
focus,[動]焦点を合わせる
fold,[動]折りたたむ 
forecast,[名]予報、予想
formation,[名]編隊、編成
formerly,[副]以前は
fort,[名]砦、駐屯地
founder,[名]創設者
frankly,[副]率直に言えば
freely,[副]自由に
frequent,[形]頻繁な
frequently,[副]頻繁に
fried,[形]油で揚げた
frontier,[名]国境
frost,[名]霜、霜が降りること
fundamental,[形]基本的な、根本的な
gallery,[名]ギャラリー
gamble,[動]賭博をする
gangster,[名]ギャングの一員
gardener,[名]庭師
gay,[名]同性愛者
generous,[形]寛大な、惜しみない
genius,[名]天才
gesture,[名]身振り
ginger,[名]ショウガ
globe,[名]地球儀、地球
glory,[名]栄光
glow,[動]燃えるような色に輝く
goddess,[名]女神、絶世の美女
goodness,[名]善良、親切さ
govern,[動]統治する、治める
gradual,[形]徐々の、ゆるやかな
grain,[名]穀類、（穀物の）粒
grandparent,[名]祖父、祖父母
grasp,[動]握る
greedy,[形]貪欲な，渇望して
grief,[名]深い悲しみ
grocer,[名]食料雑貨商人
gross,[形]全体の
guarantee,[動]保証する
guidance,[名]指導、手引き
guidebook,[名]案内書
guilt,[名]犯罪、罪
gulf,[名]湾
halfway,[副]途中の
handbook,[名]参考書
handful,[名]一握り
hanging,[名]つるすこと，絞首刑
harmful,[形]有害な
harsh,[形]厳しい、耳・目ざわりな
harvest,[名]収穫
haste,[名]急ぐこと、迅速
hatred,[名]憎悪、憎しみ
heal,[動]治す、治る
healing,[名]治癒
heater,[名]加熱器
heating,[名]暖房
heavily,[副]重く
helping,[名]一盛り、一人前
heroic,[形]一人前
hesitate,[動]躊躇する
hidden,[形]隠された
hiding,[名]隠れること、隠すこと
hillside,[名]丘の斜面
historical,[形]歴史上の、歴史的な
hockey,[名]ホッケー
holding,[名]つかむこと、握り方
hollow,[名]くぼみ、凹地、穴
homeless,[形]家のない，ホームレスの
honestly,[副]正直に
honesty,[名]正直
honeymoon,[名]新婚旅行
hood,[名]ボンネット、フード
hop,[動]ぴょんと跳ぶ
horseback,[名]馬の背
hostess,[名]主人役の女性
household,[名]世帯、家庭
humanity,[名]人間性
humble,[形]謙虚に、控えめな
hunting,[名]狩猟、狩り
hut,[名]小屋
identity,[名]独自性、アイデンティティ
idle,[動]怠けて過ごす
ignorance,[名]無知
ignorant,[形]無知な
illegal,[形]違法の
illustration,[名]実例
imitate,[動]まねる、見習う
immense,[形]巨大な
imperial,[形]皇帝の，皇室の
impose,[動]課する、強要する
impressive,[形]見事な
impulse,[名]衝動
incident,[名]出来事、小事件
increasingly,[副]ますます，段々と
independence,[名]独立
indicate,[動]示す
