illegitimate,[形]違法の
mechanics,"[名]力学
median,[名]中央値
mediocre,[形]平凡な
meek,[形]おとなしい
merchandising,[名]商品化計画
Messrs.,[名]Mrの複数形
metro,[名]地下鉄
midweek,[名]週の中ほど
milestone,[名]画期的な出来事
militant,[形]戦闘的な
mimic,[名]模倣者
mindless,[形]愚かな、頭を使わない
misbehavior,[名]不作法
misdirect,[動]間違って教える
miser,[名]守銭奴、けち
misfit,[名]適応できない人
misguided,[形]見当違いの
mistrust,[動]用しない
misuse,[名]誤用
mobilize,[動]動員する
modem,[名]変復調装置、モデム
modernize,[動]近代化する
momentum,[名]勢い
monologue,[名]独白
monopolize,[動]独占する
monotony,[名]単調、退屈
moor,[動]停泊させる 
morale,[名]士気
mosaic,[名]モザイク、モザイク画
motherhood,[名]母性
motif,[名]主題、動機
mountaineering,[名]登山
mournful,[形]悲しみに沈んだ
muffin,[名]マフィン
multinational,[形]多国籍の
munch,[動]むしゃむしゃ食べる
muscular,[形]筋肉の
myriad,[名]無数
mystify,[動]惑わせる
mythology,[名]神話
naive,[形]経験が少ない
negotiable,[形]交渉できる
negotiator,[名]交渉者
neutrality,[名]中立
neutralize,[動]中和する
nick,[名]切り目、刻み目
nip,[動]つねる
norm,[名]標準、規範
northeastern,[形]北東の
northwestern,[形]北西の
noteworthy,[形]目だった、顕著な
notional,[形]名目の
notorious,[形]悪名高い
nucleus,[名]核
nudity,[名]裸
nutrient,[名]栄養素
nutritious,[形]栄養価の高い
objectivity,[名]客観性
obligatory,[形]義務的な
oblivion,[名]忘却
observatory,[名]天文台
obsession,[名]執着
obsolete,[形]時代遅れの
obstruct,[動]ふさぐ
obstruction,[名]障害物
occidental,[形]西洋の
occupant,[名]占有者
oddity,[名]風変わりなこと
operative,[形]実施されている
opt,[動]選ぶ
optical,[形]光学上の
orchestral,[形]オーケストラ用の
ordeal,[名]試練
ore,[名]鉱石
organizer,[名]創立委員
outnumber,[動]数でまさる
outrageous,[形]無法な
overdue,[形]期日を過ぎた
overestimate,[動]過大評価をする
oversee,[動]監督する
oversight,[名]見過ごし、監視
overt,[形]公然の
packed,[形]すし詰めの
pact,[名]条約、契約
pagan,[名]異教徒
painstaking,[形]骨身を惜しまない
pane,[名]窓ガラス
pang,[名]激痛，苦しみ
parasite,[名]寄生虫
parish,[名]教区
participle,[名]分詞
partition,[名]仕切り
passable,[形]通行できる
patriotism,[名]愛国心
peat,[名]泥炭
pedestal,[名]彫像などの台座
peek,[動]そっとのぞく
penguin,[名]ペンギン
pensioner,[名]年金受給者
periodic,[形]周期的な、定期的な
perpetuate,[動]永存させる
persevere,[動]辛抱する
pervade,[動]全体に普及する
perverse,[形]ひねくれた
pester,[動]悩ます
pesticide,[名]農薬、殺虫剤
petroleum,[名]石油
petty,[形]些細な
phenomenal,[形]驚異的な
phonetic,[形]音声の
photocopy,[動]コピーする
pickle,[名]漬物，ピクルス
pickup,[形]間に合わせの
piety,[名]信心、敬愛
pinnacle,[名]頂上
pinpoint,[形]正確な
placard,[名]プラカード
placid,[形]穏やかで落ち着いた
plaque,[名]飾り額、記念額
plateau,[名]高原
platonic,[形]精神的な
playwright,[名]脚本家
plume,[名]羽
plummet,[動]まっすぐに落ちる.
ply,[動]浴びせる
pointless,[形]要領を得ない
poke,[動]突く
polished,[形]洗練された
pollutant,[名]汚染物質
ponder,[動]熟考する
populous,[形]人口の多い
porridge,[名]ポリッジ、米がゆ
posterity,[名]後世、子孫
potent,[名]有力な
poultry,[名]家禽
prank,[名]いたずら
precarious,[形]不安定な
precedent,[名]判例、先例
predicate,[動]断定する
predominant,[形]優勢な
premature,[形]早産の
preoccupation,[名]偏見、没頭
preparatory,[形]予備の
pretext,[名]言い訳
preview,[名]予告、下見
prewar,[形]戦前の
principally,[副]第一に
privileged,[形]光栄で
programmer,[名]プログラマー
prohibition,[名]禁止
prone,[形]傾向がある
propeller,[名]推進物、推進器
protocol,[名]条約議定書
prototype,[名]見本
providence,[名]摂理
pry,[動]詮索する
psychiatrist,[名]精神科医
psychiatry,[名]精神医学
psychic,[形]霊魂の
publicize,[動]公表する、宣伝する
puddle,[名]水たまり
pulp,[名]果肉
punctuate,[動]句読点を付ける、中断する
punctuation,[名]句読点、句読法
purge,[動]一掃する 
purify,[動]浄化する
puzzling,[形]当惑させる
quartz,[名]水晶
racism,[名]人種差別
racist,[名]人種差別主義者
radiant,[形]明るい光を放つ
radioactive,[形]放射性の
radius,[名]半径
ramp,[名]傾斜路
rascal,[名]ならず者
ravage,[名]略奪、荒廃
readable,[形]読みやすい
rearrange,[動]再び配列する
rebuke,[動]非難する 
recapture,[動]再び捕らえる
receivable,[形]受け取るべき
receptor,[名]感覚器官、受容体
reciprocal,[形]相互の
recreational,[形]レクリエーションの
rectangle,[名]長方形
rectangular,[形]長方形の
rectify,[動]修正する
recur,[動]繰り返される
recurrence,[名]再発
redden,[動]赤くなる
redeem,[動]弁済する
redemption,[名]償還
rediscover,[動]再発見する
redundancy,[名]余分なこと
reef,[名]礁
reenter,[動]再び入る
reestablish,[動]再建する
refund,[動]払い戻す
regiment,[名]連隊
rehearse,[動]下稽古をする
reindeer,[名]トナカイ
reluctantly,[副]いやいやながら
reminder,[名]思い出させるもの
reminiscence,[名]回想
remnant,[名]残物
renewable,[形]再生可能な
renounce,[動]放棄する
renown,[名]名声
renowned,[形]有名な
repentance,[名]後悔、悔い改め
replica,[名]写し、複製
repress,[動]抑える、抑圧する
repression,[名]弾圧
repressive,[形]抑圧的な
reproductive,[形]生殖の、再生の
repute,[名]評判、好評
reservoir,[名]貯水池
residue,[名]残留物
resourceful,[形]機知に富んだ
respectfully,[副]敬意を表して
respondent,[名]回答者
retention,[名]保持
retrace,[動]回想する
retrieve,[動]取り戻す
retrospect,[名]回顧
retrospective,[形]回顧の
reunion,[名]同窓会、親睦会
reversal,[名]反転、逆転
revolver,[名]回転式ピストル
rig,[動]装備する
righteous,[形]道義的に正しい
rigorous,[形]厳格な
rink,[名]スケートリンク
roadside,[名]道端
robin,[名]ヨーロッパコマドリ
robust,[形]たくましい
rocker,[名]揺りいす、ロック歌手
rogue,[名]ごろつき、悪党
runaway,[形]逃亡した
rustic,[形]いなかの
ruthless,[形]無慈悲な
sage,[名]賢人，哲人
salvation,[名]救済
sampling,[名]試食
sanction,[名]制裁
sanctuary,[名]神聖な場所
sap,[名]樹液
sarcasm,[名]皮肉
sardine,[名]イワシ
scholarly,[形]学問的な
scripture,[名]聖書
scrutiny,[名]詳細な調査
secular,[形]世俗の
seduce,[動]誘惑する
seeming,[形]うわべの
segregate,[動]分離する
segregation,[名]隔離、人種隔離
seizure,[名]捕らえること、発作
semiconductor,[名]半導体
sensory,[形]感覚の
separable,[形]分離できる
sequel,[名]続編
setback,[名]後退、挫折
severity,[名]厳しさ
sewer,[名]下水道
shaped,[形]形の
sherbet,[名]シャーベット
sheriff,[名]保安官
shipbuilding,[名]造船
shoelace,[名]靴紐
shoplift,[動]万引きする
shopper,[名]買い物客
showroom,[名]ショールーム
showy,[形]目立つ、派手な
shun,[動]避ける
sibling,[名]兄弟姉妹
sickly,[形]吐き気を催すような
siege,[名]包囲攻撃、包囲
sift,[動]ふるいにかける
signing,[名]しるし、標識
signpost,[名]道しるべ
silhouette,[名]輪郭
silicon,[名]珪素
silvery,[形]銀の、銀白色の
simulation,[名]模擬実験
sinister,[形]不吉な、邪悪な
sinner,[名]罪人
skeptical,[形]疑い深い
skepticism,[名]懐疑的な考え
slab,[名]四角く幅の広い厚板
slack,[形]ゆるんだ
sled,[名]そり
sliding,[形]滑る
sling,[名]つり縄、三角布
smelt,[動]融解して精錬する
snob,[名]お高くとまった人
snowball,[名]雪玉
snub,[動]冷たく扱う
snug,[形]居心地のよい
soaked,[形]びしょぬれで
socioeconomic,[形]社会経済的な
sociological,[形]社会学的な
solicit,[動]強く求める
solicitor,[名]懇願者、勧誘人
sonata,[名]ソナタ
southeastern,[形]南東の、南東への
southwestern,[形]南西部の
sovereignty,[名]主権、統治権
soybean,[名]大豆
spank,[動]お尻をたたく
specialized,[副]専門の
specification,[名]仕様、明細事項
speck,[名]小さい点
spectrum,[名]スペクトル、範囲
speculative,[形]推論的な，投機的な
speechless,[形]口のきけない、無言の
spinner,[名]紡ぎ手
spinning,[名]紡績
spiral,[形]らせん形の
splinter,[名]とげ、破片
spokesperson,[名]代弁者，スポークスマン
spontaneity,[名]自発性
spreadsheet,[名]集計表
squad,[名]部隊、チーム
squarely,[副]真正面に
squeak,[動]チューチュー鳴く
stairway,[名]階段
starch,[名]でんぷん
steamboat,[名]蒸気船
steeple,[名]教会などの尖塔
stepfather,[名]継父
stepmother,[名]継母
stereotype,[名]固定観念、決まり文句
stifle,[動]窒息させる
stimulant,[名]興奮剤
stink,[動]悪臭を放つ
stirring,[形]感動させる
stun,[動]唖然とする
sturdy,[名]頑丈な
subcommittee,[名]小委員会
subdued,[形]控えめな
subgroup,[名]下位グループ
submissive,[形]従順な
subscribe,[動]定期購読する
subscriber,[名]予約者、購読者
subtlety,[名]微妙
suggestive,[形]暗示に富む
suicidal,[形]自殺的な、自滅的な
suite,[名]ひと揃い
sunken,[形]水没した
superintendent,[名]監督者、支配人
supersonic,[形]超音速の
superstar,[名]スーパースター
supplementary,[形]補足の
supremacy,[名]主権、優位
surge,[名]急上昇
surgical,[形]外科の
surmise,[動]推測する
sustainable,[形]持続可能な
swap,[動]交換する
swollen,[形]ふくれた、誇張した
swoop,[動]急降下する
syllabus,[名]授業予定表
syndrome,[名]症候群
synonym,[名]同意語
synthesize,[動]総合する、合成する
synthetic,[形]合成の
tabloid,[名]タブロイド新聞
taboo,[名]タブー、禁制
tact,[名]機転
tactics,[名]方策、戦術
taint,[名]汚れ
takeoff,[名]離陸
tangible,[形]触れて感知できる
taper,[名]先細り、逓減
tart,[名]タルト
tasteless,[形]味のない、無味乾燥な
tattoo,[名]入れ墨
temperance,[名]節制
temporal,[形]現世の
tentative,[形]仮の
terminate,[動]終わらせる
thereby,[副]それによって
thermal,[形]熱の，温度の
thermostat,[名]温度自動調節器
thong,[名]革ひも
thou,[名]なんじは，そなたは 
throng,[動]群がる，殺到する
thrush,[名]ツグミ
thump,[動]ゴツンと打つ
thunderous,[形]雷を発する
toothpick,[名]つまようじ
torrent,[名]豪雨
townspeople,[名]都会人
transcribe,[動]書き写す
transfusion,[名]注入、輸血
transit,[名]交通、通過
transitional,[形]過渡的な
transmitter,[名]送信機、送話器
treble,[形]3 倍の
tribunal,[名]裁判所
trickle,[動]したたる
trillion,[名]一兆
trolley,[名]路面電車
trump,[名]切り札
tuition,[名]学費、授業料
tumor,[名]ふくらみ、腫瘍
tumult,[名]騒動
turbulent,[形]荒れ狂う、乱れている
turf,[名]芝地
tutorial,[形]家庭教師の
twitch,[動]ぐいと引く
tyrannical,[形]専制君主的な
unavailable,[形]利用できない
unbutton,[動]ボタンを外す
unconcerned,[形]心配しない
unconventional,[形]慣例に従わない
undeniable,[形]否定しがたい
undermine,[動]いつのまにか害する
undone,[形]もとどおりにする
unidentified,[形]身元不明の、未確認の
unification,[名]統合、統一
unintentional,[形]意図的でない
uninterrupted,[形]連続した、一体となった
unleash,[動]解き放す
unloved,[形]愛されていない
unnoticed,[形]人目につかない
unpack,[動]荷を解く
unprecedented,[形]先例のない
unprepared,[形]準備のできていない
unrest,[名]不安
unsettle,[動]不安にする
unsold,[形]売れ残りの
unveil,[動]明らかにする
unwelcome,[形]歓迎されない
upland,[名]高地
uranium,[名]ウラン
utopia,[名]理想郷
utopian,[形]理想郷の
vaccine,[名]ワクチン
validate,[動]有効にする
validity,[名]妥当性
valuation,[名]評価、評価額
variously,[副]様々な
vegetation,[名]植生、草木
vendor,[名]売主
verdict,[名]（陪審員の）評決
verge,[名]端、境界
verify,[動]実証する
villain,[名]悪者、悪役
visualize,[動]視覚化する
vocational,[形]職業上の
vogue,[名]流行
void,[名]空虚感
wail,[動]泣き叫ぶ
waistcoat,[名]チョッキ
wanting,[形]欠乏している
warranty,[名]保証
watertight,[形]防水の、耐水の
watery,[形]水を含んだ
watt,[名]ワット
whatsoever,[形]どんなものであれ
whereby,[副]それによって
widower,[名]男やもめ
willingness,[名]快くすること
wiring,[名]配線
woe,[名]悲哀、災難
woodwork,[名]木工品
wording,[名]言葉づかい
workable,[形]実行できる、有効な
ye,[名]汝ら
yearning,[名]あこがれ、熱望
yeast,[名]酵母
yielding,[形]曲がりやすい
yoke,[名]くびき
yolk,[名]卵の黄身
zigzag,[名]ジグザグ
abdomen,[名]腹部，腹
abide,[動]我慢する
abortive,[形]未成熟の.不成功の
abstain,[動]慎む，控える
accelerator,[名]加速装置
acclaim,[名]大かっさい，歓呼
accommodating,[形]親切な
accompanist,[名]伴奏者
accountability,[名]説明義務
accountable,[形]釈明の義務のある
additive,[名]添加物
adept,[名]達人
adherent,[名]支持者
adhesive,[名]接着剤
adoration,[名]敬愛
advent,[名]出現
adversary,[名]敵、対戦相手
advocacy,[名]支持、弁護
aesthetics,[名]美学
affidavit,[名]供述書
affiliate,[名]関係者、系列会社
affiliation,[名]提携
affinity,[名]親近感、密接な関係
affluence,[名]豊富、富裕、流入
afresh,[副]再び
aftermath,[名]結果
aggregate,[名]集合
airman,[名]飛行士
airship,[名]飛行船
ale,[名]エール
alibi,[名]アリバイ
alight,[動]降り立つ
allegiance,[名]忠誠、献身
allotment,[名]割当額
alloy,[名]合金
allude,[動]ほのめかす
allure,[名]魅力
aloft,[副]上空に
alto,[名]アルト歌手
amass,[動]集める
amber,[名]琥珀、こはく色
ambush,[名]待ち伏せ
ammonia,[名]アンモニア
ammunition,[名]弾薬
amnesty,[名]恩赦
anchorage,[名]停泊地
antagonism,[名]対立、敵意
antagonist,[名]対立者
anthropologist,[名]人類学者
antibiotic,[名]抗生物質
antonym,[名]反意語
apologetic,[形]謝罪の、すまなそうな
appalling,[形]とてもひどい
appropriation,[名]充当
archaeologist,[名]考古学者
archer,[名]弓の射手
archive,[名]記録保管所
ardent,[形]熱烈な、熱心な
arduous,[形]困難な、骨の折れる
armament,[名]軍備、装備、武装
aroma,[名]香り
arsenal,[名]兵器
artery,[名]動脈
articulate,[名]はっきり発音する
artillery,[名]大砲
asphalt,[名]アスファルト
assured,[名]保険金受取人
asthma,[名]ぜんそく
astound,[動]びっくり仰天させる
atrocity,[名]残虐行為
attempted,[形]未遂の
attributable,[形]起因する
audible,[形]聞き取れる
authenticity,[名]真正
autograph,[名]サイン
autonomous,[形]自治の、自主的な
aversion,[名]嫌悪感
awakening,[名]目覚め、気づくこと
aye,[名]肯定の答、賛成投票者
backfire,[名]逆火
backup,[名]裏打ち、支援
bacterial,[形]バクテリアの
baffle,[名]困惑
baptism,[名]洗礼
baptize,[動]洗礼を行う
barge,[名]平底荷船
bash,[名]強打
basil,[名]バジル
bastard,[名]いやなやつ
batsman,[名]打者
bead,[名]ビーズ
beastly,[形]いやな
beckon,[動]合図する
beige,[名]ベージュ色
bellow,[名]ほえ声、どなり声
beneficiary,[名]受益者
benevolent,[形]慈悲深い、優しい
benign,[形]温和な、優しい
beset,[動]包囲する、ふさぐ
besiege,[動]包囲する、押し寄せる
bibliography,[名]参考文献
billboard,[名]広告板
bingo,[名]ビンゴ
biochemistry,[名]生化学
birthright,[名]生得権
blackout,[名]停電
bladder,[名]膀胱
bland,[形]温和な、刺激のない
blinding,[名]おおい隠すもの
bloc,[名]圏、議員連合
bloke,[名]男
blunder,[名]大失敗
bolster,[名]長枕
bony,[形]骨ばった
booster,[名]後援者、熱狂的支持者
borrowing,[名]借用
bourgeois,[名]ブルジョア
bout,[名]勝負、競争
boutique,[名]ブティック
boyish,[形]少年のような
brag,[名]自慢話
braid,[名]編んだ髪
brewer,[名]醸造業者
brewery,[名]ビール醸造所
bridal,[名]結婚式
brigade,[名]団
briskly,[副]きびきびと
bristle,[名]剛毛
broth,[名]スープ
brutality,[名]残虐行為
buff,[名]もみ革
buildup,[名]強化、蓄積
bulge,[名]でっぱり
bumpy,[形]でこぼこの
bureaucrat,[名]官僚
bureaucratic,[形]官僚的な
burnout,[名]燃料枯渇
bustle,[名]大騒ぎ、ざわめき
butt,[名]残り
caddie,[名]キャディー
calculating,[形]抜け目のない
camper,[名]キャンプする人
candid,[名]スナップ写真
carbohydrate,[名]炭水化物
cardinal,[名]枢機卿
caricature,[名]風刺画、風刺文
cascade,[  ]小滝
casserole,[名]焼きなべ料理
catastrophic,[形]大惨事の
categorize,[動]分類する
causal,[形]原因の、因果関係の
cavity,[名]穴
cellular,[名]携帯電話
censure,[名]非難
centralization,[名]中央集権
ceramic,[形]陶器の
cerebral,[名]反転音
ceremonious,[形]儀式を重んじる
chic,[名]洗練、上品
childbearing,[名]出産
chisel,[名]彫刻刀
christen,[動]命名する
chuck,[名]軽くつつくこと
churn,[名]攪乳器
clam,[名]ハマグリ、二枚貝
clamber,[名]よじ登ること
clan,[名]氏族、一族
clarinet,[名]クラリネット
cliche,[名]陳腐な表現
clockwise,[形]時計回りの
clothesline,[名]物干し綱
clothespin,[名]洗濯ばさみ
coax,[動]おだてる
cobweb,[名]クモの巣
cod,[名]タラ
coexist,[動]共存する
coexistence,[名]共存
cognitive,[名]認知
cohesion,[名]結合、団結
colloquial,[形]口語的な
colossal,[形]巨大な
coma,[名]昏睡
commencement,[名]卒業式
commoner,[名]庶民
communal,[形]共同社会の、自治体の
complementary,[形]補足的な
complexion,[名]顔色
compliance,[名]遵守
complimentary,[形]優待の、無料の
composure,[名]落ち着き
compression,[名]圧縮
concealment,[名]隠すこと
concord,[名]協和音
concur,[動]同意する、是認する
confidentiality,[名]秘密性
configuration,[名]配置
conjunction,[名]連結、合同
connector,[名]連結器
consecutive,[形]連続的な
consign,[動]委託する、発送する
consortium,[名]共同企業体
constrain,[動]〈人に〉強いて[無理に]〈…〉させる
construe,[名]解釈する
consul,[名]領事
consulate,[名]領事館
contemplation,[名]熟考
contender,[名]競争相手
continuance,[名]持続、継続時間
convene,[動]招集する
converge,[動]集まる
convertible,[形]改造[改装]できる
conveyance,[名]運搬
convoy,[名]護衛隊
coral,[名]さんご
coronation,[名]戴冠（式）、即位（式）
countdown,[名]秒読み
counteract,[動]和らげる
counterclockwise,[形]左回り、反時計方向
courier,[名]宅配便業者、宅配便
courtroom,[名]法廷
covenant,[名]契約（条項）
covet,[動]むやみに欲しがる
crafty,[形]ずる賢い
crank,[名]変人、クランク
creditable,[形]賞賛に値する
creepy,[形]むずむずする、ぞっとする
crib,[名]ベビーベッド
crossed,[形]十文字に置いた，交差した
crucify,[動]十字架にかける
culminate,[動]最高潮に達する
culprit,[名]犯罪者
cumulative,[形]累積する
custodian,[名]管理人
cutlery,[名]食卓用刃物
dainty,[名]うまいもの
dangle,[動]ぶら下がる、ぶら下げる
debris,[名]破片、がれき
debtor,[名]債務者
decease,[名]死亡
deceased,[名]故人
deduce,[動]推論する
default,[名]債務不履行
defer,[動]延期する、延ばす
defiance,[名]抵抗、挑戦
defiant,[形]反抗的な
deficient,[形]不足した、欠陥のある
definitive,"[形]決定的な
deflect,[動]そらせる
delinquent,[名]非行少年
delude,[動]欺く、惑わす
demise,[名]死亡、消滅
demolish,[動]取り壊す
denim,[名]デニム
deplore,[動]遺憾に思う
deploy,[動]配置する、配備する
derivative,[名]派生商品
deserving,[形]値する
detector,[名]探知器
detention,[名]勾留
deterrent,[名]戦争抑止力
devastating,[形]破壊的な、ひどい
devout,[形]信心深い
dexterity,[名]器用さ、機敏さ
diagnose,[動]診断する
diarrhea,[名]下痢
diesel,[名]ディーゼル
dietary,[名]食糧
digestive,[名]消化剤
diminutive,[形]小さい，小型の
disable,[動]無能にする
disadvantaged,[形]恵まれない
discernible,[形]認められる、識別できる
discrepancy,[名]食い違い、不一致
disgraceful,[形]恥ずべき
dishonesty,[名]不正直
disintegrate,[動]崩壊させる
dismantle,[動]分解する
disorderly,[形]秩序を乱す
dispel,[動]追い散らす、払い去る
disperse,[動]分散する
disquiet,[名]動揺
