hurt,[動]痛める
music,[名]音楽、楽譜
musician,[名]音楽家
must,[助]～しなければならない
my,[代]私の
nail,[名]つめ
name,[名]名前
narrow,[形]狭い
natural,[形]自然な
near,[形]近い
necessary,[形]必要な
neck,[名]首
need,[動]必要である
neighbor,[名]隣人、近所の人
never,[副]決して～ない
new,[形]新しい
news,[名]ニュース
newspaper,[名]新聞
next,[形]次の、最も近い
nice,[形]良い、素敵な
night,[名]夜
nine,[名]９
nineteen,[名]１９
ninety,[名]９０
no,[形]一つも～ない
nobody,[代]だれも～ない
noise,[名]音、騒音
none,[代]だれも～でない
noon,[名]正午
north,[形]北の
nose,[名]鼻
not,[副]～ない
note,[名]ノート、メモ
notebook,[名]ノート
nothing,[代]何も～ない
November,[名]11月
now,[副]今
number,[名]数字、数
nurse,[名]看護師
o'clock,[副]時
October,[名]10月
of,[前]～の
off,[前]離れて
office,[名]職場、オフィス
often,[副]しばしば
oh,[間]おお
oil,[名]油、石油
OK,[副]うまく、ちゃんと
old,[形]古い
on,[前]～の上に
once,[名]一度だけ
one,[名]ひとつ
only,[形]唯一の
open,[動]空ける、開く
or,[接]どちらか
orange,[名]オレンジ
order,[名]順番
other,[形]他の
our,[代]私たちの
ours,[代]私たちのもの
out,[副]～の外へ
outside,[名]外側
over,[前]～の上
page,[名]ページ
paint,[動]描く
pair,[名]一対、一組
pants,[名]ズボン
paper,[名]紙、書類
parent,[名]親
park,[名]公園
part,[名]一部、部分
party,[名]パーティー
pass,[動]通る、追い越す
past,[形]昔の、過去の
pay,[動]支払う
pen,[名]ペン
pencil,[名]鉛筆
people,[名]人々
percent,[名]パーセント
perhaps,[副]あるいは，たぶん 
person,[名]人
pet,[名]ペット
phone,[名]電話
photograph,[名]写真
piano,[名]ピアノ
pick,[動]選ぶ、ほじる
picnic,[名]ピクニック
picture,[名]絵、写真
piece,[名]一片、一切れ
pig,[名]ブタ
pilot,[名]パイロット
pink,[名]ピンク色
pipe,[名]管
place,[名]場所
plan,[名]計画、案
plane,[名]飛行機
plant,[名]植物
play,[動]遊ぶ
please,[動]喜ばせる
pocket,[名]ポケット
point,[名]点、要点
police,[名]警察
policeman,[名]警察官
pool,[名]プール、水たまり
poor,[形]貧しい
popular,[形]人気のある
pork,[名]豚肉
post,[名]郵便局、ポスト
pot,[名]壷、深なべ、ポット
potato,[名]ジャガイモ
pound,[名]ポンド（重量の単位）
power,[名]力
practice,[名]練習、実行
present,[形]現在の
pretty,[形]かわいい
price,[名]価格、値段
promise,[名]約束
proud,[形]誇らしげな、自慢する
pull,[動]引く、引っ張る
push,[動]押す
put,[動]置く
quarter,[名]4分の1
queen,[名]女王
question,[名]質問、問題
quick,[形]速い
quickly,[副]素早く、急いで
quiet,[形]静かな
rabbit,[名]ウサギ
race,[名]競争、レース
radio,[名]ラジオ
rain,[名]雨
rainy,[形]雨降りの、雨の多い
reach,[動]到着する
read,[動]読む
ready,[形]用意が出来る
real,[形]本物の、実際の
really,[副]本当に
receive,[動]受け取る、得る
red,[形]赤い
remember,[動]覚えている
restaurant,[名]レストラン
return,[動]戻る、帰る
rice,[名]ご飯、米
rich,[形]金持ち、裕福な
ride,[動]乗る、乗馬する
right,[形]正しい、正当な
ring,[名]指輪、リング
rise,[動]昇る、上がる
river,[名]川
road,[名]道、道路
robot,[名]ロボット
rock,[名]岩、石
rocket,[名]ロケット
roof,[名]屋根
room,[名]部屋
rope,[名]ロープ
rose,[名]バラ
round,[形]丸い、円形の
rule,[名]ルール、規則
run,[動]走る
sad,[形]悲しい
safe,[形]安全な
salad,[名]サラダ
sale,[名]売上
salt,[名]塩
same,[形]同じ
sand,[名]砂
sandwich,[名]サンドイッチ
Saturday,[名]土曜日
save,[動]救う、貯金する
say,[動]言う、話す
scene,[名]場面、現場
school,[名]学校
science,[名]科学
sea,[名]海
season,[名]季節
seat,[名]席
second,[名]2番目の、秒
secret,[形]秘密の
see,[動]見える、見る
seem,[動]～のように見える
sell,[動]売る、販売する
send,[動]送る
September,[名]9月
set,[動]置く
seven,[名]7
seventeen,[名]１７
seventy,[名]７０
several,[形]いくつかの
shake,[動]振る、揺り動かす
shall,[助]…でしょうか
shape,[名]形、体形
sharp,[形]鋭い、鋭利な
she,[代]彼女は
sheep,[名]羊
shine,[動]輝く
ship,[名]船
shirt,[名]シャツ
shoe,[名]靴
shop,[名]店
shopping,[名]買い物
short,[形]短い
should,[助]～するべきである
shoulder,[名]肩
show,[動]見せる
shower,[名]にわか雨
shut,[動]閉める、閉じる
sick,[形]病気にかかった
side,[名]脇、側面
sign,[名]しるし、標識
silent,[形]静かな、無口な
silver,[名]銀、銀器
simple,[形]簡単な、やさしい
since,[接]それ以来、その後
sing,[動]歌う
singer,[名]歌手
sister,[名]妹、姉
sit,[動]座る
six,[名]6の数字
sixteen,[名]１６
sixty,[名]６０
size,[名]大きさ、サイズ
ski,[名]スキー板
skiing,[名]スキー
skin,[名]肌、皮膚、皮
sky,[名]空
sleep,[動]眠る
sleepy,[形]眠い
slow,[形]遅い
slowly,[副]ゆっくりと
small,[形]小さい
smell,[動]臭う、香る
smile,[動]微笑する、笑う
smoke,[名]煙
smoker,[名]たばこを吸う人
smoking,[名]たばこを吸うこと
snake,[名]ヘビ
snow,[名]雪
so,[接]それで
soap,[名]石鹸
soccer,[名]サッカー
soda,[名]炭酸ソーダ
soft,[形]柔らかい
some,[形]幾らかの
somebody,[代]だれか
someone,[代]だれか
something,[代]何か、あるもの
sometimes,[副]時々、たまに
son,[名]息子
song,[名]曲、歌
soon,[副]まもなく、もうすぐ
sorry,[形]すまないと思う
sound,[名]音
soup,[名]スープ
south,[名]南、南部
space,[名]空間、スペース
speak,[動]話す、言う
speaker,[名]話者、講演者
special,[形]特別な、特有の
speed,[名]速度、スピード
spend,[動]使う、費やす
spoon,[名]スプーン、スプーン1杯
sport,[名]スポーツ
spring,[名]春
square,[名]正方形、広場
stamp,[動]切手をはる
stand,[動]立つ
star,[名]星、恒星
start,[動]始まる、出発する
station,[名]駅、署
stay,[動]留まる、じっとしている
step,[名]歩み
still,[副]まだ
stone,[名]石
stop,[動]停止する
store,[名]店
story,[名]物語、話
straight,[形]まっすぐな
strange,[形]変わった、変な
street,[名]通り、道路
strong,[形]強い、激しい
student,[名]生徒、学生
study,[名]研究、勉強
subway,[名]地下鉄
such,[形]そのような
suddenly,[副]突然に
sugar,[名]砂糖
suit,[名]スーツ、背広上下
summer,[名]夏
sun,[名]太陽、日光
Sunday,[名]日曜日
supermarket,[名]スーパー
sure,[形]確信している
surprise,[動]驚かす、びっくりする
sweet,[形]甘い
swim,[動]泳ぐ
switch,[名]スイッチ
table,[名]テーブル、食卓
take,[動]取る、つかむ
talk,[動]話す
tall,[形]背が高い
tape,[名]テープ
taste,[名]味覚
taxi,[名]タクシー
tea,[名]お茶、紅茶
teach,[動]教える
teacher,[名]先生、教師
team,[名]チーム
telephone,[名]電話
television,[名]テレビ、テレビ放送
tell,[動]伝える、話す
ten,[名]１０
tennis,[名]テニス
tent,[名]テント
test,[名]試験
textbook,[名]教科書
than,[接]…よりも
thank,[動]感謝する
that,[形]あの、その
the,[冠]（定冠詞）それ、その
their,[代]彼らの
theirs,[代]彼らのもの
them,[代]they の目的格
then,[副]その時、あの時
there,[副]そこに、そこで
these,[形]これらの
they,[代]彼らは
thick,[形]厚い
thin,[形]薄い
thing,[名]物、事
think,[動]考える、思う
third,[形]3番目の
thirteen,[名]13の数字
thirty,[名]30の数字
this,[形]この
those,[形]あれらの
though,[接]～だけれども
thousand,[名]千、千の数字
three,[名]3の数字
through,[前]～を通って
throw,[動]投げる
Thursday,[名]木曜日
ticket,[名]航空券、切符
tie,[動]縛る、つなぐ
tiger,[名]トラ
till,[前]～まで
time,[名]時間
tired,[形]疲れている
to,[前]～へ
today,[名]今日
toe,[名]足の指
together,[副]共に、一緒に
toilet,[名]トイレ
tomato,[名]トマト
tomorrow,[名]あす、明日
tongue,[名]舌
tonight,[副]今夜
too,[副]さらに、そのうえ
tooth,[名]歯
top,[名]頂上、最高部
touch,[動]触る
toward,[前]～に向かって
towel,[名]タオル
tower,[名]塔
town,[名]町、都会
toy,[名]おもちゃ
train,[名]電車
travel,[動]旅行する
tree,[名]樹木
trip,[名]旅行
trouble,[名]問題、困難
TRUE,[形]真実の、本当の
try,[動]努力する、試みる
Tuesday,[名]火曜日
tunnel,[名]トンネル、坑道
turn,[動]回転させる
twelve,[名]１２の数字
twenty,[名]20の数字
two,[名]2の数字
type,[名]種類、タイプ
umbrella,[名]傘
uncle,[名]おじ
under,[前]～の下に
understand,[動]理解する
until,[前]…するまで
up,[副]上へ
upon,[前]onの強意用法
us,[代]we の目的格
use,[動]利用する、使う
useful,[形]役に立つ、便利な
usual,[形]いつもの、通常の
usually,[副]普通は、たいてい
vacation,[名]休暇
vegetable,[名]野菜
very,[副]とても
video,[名]ビデオ、映像
videotape,[名]ビデオテープ
village,[名]村
violin,[名]バイオリン
visit,[動]訪問する
visitor,[名]訪問者、来客
voice,[名]声
wait,[動]待つ
wake,[動]目を覚ます
walk,[動]散歩する
wall,[名]壁、塀
want,[動]欲する
war,[名]戦争
warm,[形]暖かい
was,[動]be 動詞の過去形
wash,[動]洗う
watch,[動]見る
water,[名]水
wave,[名]波
way,[名]道
we,[動]我々は
weak,[形]弱い、もろい
wear,[動]着る、身につける
Wednesday,[名]水曜日
week,[名]週、一週間
weekend,[名]週末
welcome,[動]歓迎する
well,[副]うまい、良い
were,[動]be 動詞の過去形
west,[名]西、西部
wet,[形]ぬれた、湿った
what,[代]何
when,[副]いつ
where,[副]どこ
which,[代]どちら、どれ
while,[接]～する間
white,[形]白い
who,[代]誰
whom,[代]who の目的格
whose,[代]who の所有格
why,[副]なぜ
wide,[形]幅の広い
wife,[名]妻、奥さん
wild,[形]野生の
will,[助]～だろう
wind,[名]風
window,[名]窓
wine,[名]ワイン、ぶどう酒
winter,[名]冬
wise,[形]賢い、賢明な
with,[前]…と一緒に
without,[前]～なしで
woman,[名]女、女性
wonderful,[形]素晴らしい、素敵な
wood,[名]木
word,[名]言葉、単語
work,[名]仕事、職場
world,[名]世界、地球
worry,[名]心配事
worst,[形]最も悪い
would,[助]will の過去形
write,[動]書く
wrong,[形]間違った、誤った
yard,[名]庭
year,[名]年、学年
yellow,[形]黄色い
yes,[名]はいという返事
yesterday,[名]きのう
you,[代]あなたは、あなたたちは
young,[形]若い
your,[代]あなたの
yours,[代]あなたのもの
zoo,[名]動物園
May,[名]5月
Miss,[名]～さん
