overdue,[形]期日を過ぎた
zigzag,[名]ジグザグ
abdomen,[名]腹部，腹
abide,[動]我慢する
abortive,[形]未成熟の.不成功の
abstain,[動]慎む，控える
accelerator,[名]加速装置
acclaim,[名]大かっさい，歓呼
accommodating,[形]親切な
accompanist,[名]伴奏者
accountability,[名]説明義務
accountable,[形]釈明の義務のある
additive,[名]添加物
adept,[名]達人
adherent,[名]支持者
adhesive,[名]接着剤
adoration,[名]敬愛
advent,[名]出現
adversary,[名]敵、対戦相手
advocacy,[名]支持、弁護
aesthetics,[名]美学
affidavit,[名]供述書
affiliate,[名]関係者、系列会社
affiliation,[名]提携
affinity,[名]親近感、密接な関係
affluence,[名]豊富、富裕、流入
afresh,[副]再び
aftermath,[名]結果
aggregate,[名]集合
airman,[名]飛行士
airship,[名]飛行船
ale,[名]エール
alibi,[名]アリバイ
alight,[動]降り立つ
allegiance,[名]忠誠、献身
allotment,[名]割当額
alloy,[名]合金
allude,[動]ほのめかす
allure,[名]魅力
aloft,[副]上空に
alto,[名]アルト歌手
amass,[動]集める
amber,[名]琥珀、こはく色
ambush,[名]待ち伏せ
ammonia,[名]アンモニア
ammunition,[名]弾薬
amnesty,[名]恩赦
anchorage,[名]停泊地
antagonism,[名]対立、敵意
antagonist,[名]対立者
anthropologist,[名]人類学者
antibiotic,[名]抗生物質
antonym,[名]反意語
apologetic,[形]謝罪の、すまなそうな
appalling,[形]とてもひどい
appropriation,[名]充当
archaeologist,[名]考古学者
archer,[名]弓の射手
archive,[名]記録保管所
ardent,[形]熱烈な、熱心な
arduous,[形]困難な、骨の折れる
armament,[名]軍備、装備、武装
aroma,[名]香り
arsenal,[名]兵器
artery,[名]動脈
articulate,[名]はっきり発音する
artillery,[名]大砲
asphalt,[名]アスファルト
assured,[名]保険金受取人
asthma,[名]ぜんそく
astound,[動]びっくり仰天させる
atrocity,[名]残虐行為
attempted,[形]未遂の
attributable,[形]起因する
audible,[形]聞き取れる
authenticity,[名]真正
autograph,[名]サイン
autonomous,[形]自治の、自主的な
aversion,[名]嫌悪感
awakening,[名]目覚め、気づくこと
aye,[名]肯定の答、賛成投票者
backfire,[名]逆火
backup,[名]裏打ち、支援
bacterial,[形]バクテリアの
baffle,[名]困惑
baptism,[名]洗礼
baptize,[動]洗礼を行う
barge,[名]平底荷船
bash,[名]強打
basil,[名]バジル
bastard,[名]いやなやつ
batsman,[名]打者
bead,[名]ビーズ
beastly,[形]いやな
beckon,[動]合図する
beige,[名]ベージュ色
bellow,[名]ほえ声、どなり声
beneficiary,[名]受益者
benevolent,[形]慈悲深い、優しい
benign,[形]温和な、優しい
beset,[動]包囲する、ふさぐ
besiege,[動]包囲する、押し寄せる
bibliography,[名]参考文献
billboard,[名]広告板
bingo,[名]ビンゴ
biochemistry,[名]生化学
birthright,[名]生得権
blackout,[名]停電
bladder,[名]膀胱
bland,[形]温和な、刺激のない
blinding,[名]おおい隠すもの
bloc,[名]圏、議員連合
bloke,[名]男
blunder,[名]大失敗
bolster,[名]長枕
bony,[形]骨ばった
booster,[名]後援者、熱狂的支持者
borrowing,[名]借用
bourgeois,[名]ブルジョア
bout,[名]勝負、競争
boutique,[名]ブティック
boyish,[形]少年のような
brag,[名]自慢話
braid,[名]編んだ髪
brewer,[名]醸造業者
brewery,[名]ビール醸造所
bridal,[名]結婚式
brigade,[名]団
briskly,[副]きびきびと
bristle,[名]剛毛
broth,[名]スープ
brutality,[名]残虐行為
buff,[名]もみ革
buildup,[名]強化、蓄積
bulge,[名]でっぱり
bumpy,[形]でこぼこの
bureaucrat,[名]官僚
bureaucratic,[形]官僚的な
burnout,[名]燃料枯渇
bustle,[名]大騒ぎ、ざわめき
butt,[名]残り
caddie,[名]キャディー
calculating,[形]抜け目のない
camper,[名]キャンプする人
candid,[名]スナップ写真
carbohydrate,[名]炭水化物
cardinal,[名]枢機卿
caricature,[名]風刺画、風刺文
cascade,[  ]小滝
casserole,[名]焼きなべ料理
catastrophic,[形]大惨事の
categorize,[動]分類する
causal,[形]原因の、因果関係の
cavity,[名]穴
cellular,[名]携帯電話
censure,[名]非難
centralization,[名]中央集権
ceramic,[形]陶器の
cerebral,[名]反転音
ceremonious,[形]儀式を重んじる
chic,[名]洗練、上品
childbearing,[名]出産
chisel,[名]彫刻刀
christen,[動]命名する
chuck,[名]軽くつつくこと
churn,[名]攪乳器
clam,[名]ハマグリ、二枚貝
clamber,[名]よじ登ること
clan,[名]氏族、一族
clarinet,[名]クラリネット
cliche,[名]陳腐な表現
clockwise,[形]時計回りの
clothesline,[名]物干し綱
clothespin,[名]洗濯ばさみ
coax,[動]おだてる
cobweb,[名]クモの巣
cod,[名]タラ
coexist,[動]共存する
coexistence,[名]共存
cognitive,[名]認知
cohesion,[名]結合、団結
colloquial,[形]口語的な
colossal,[形]巨大な
coma,[名]昏睡
commencement,[名]卒業式
commoner,[名]庶民
communal,[形]共同社会の、自治体の
complementary,[形]補足的な
complexion,[名]顔色
compliance,[名]遵守
complimentary,[形]優待の、無料の
composure,[名]落ち着き
compression,[名]圧縮
concealment,[名]隠すこと
concord,[名]協和音
concur,[動]同意する、是認する
confidentiality,[名]秘密性
configuration,[名]配置
conjunction,[名]連結、合同
connector,[名]連結器
consecutive,[形]連続的な
consign,[動]委託する、発送する
consortium,[名]共同企業体
constrain,[動]〈人に〉強いて[無理に]〈…〉させる
construe,[名]解釈する
consul,[名]領事
consulate,[名]領事館
contemplation,[名]熟考
contender,[名]競争相手
continuance,[名]持続、継続時間
convene,[動]招集する
converge,[動]集まる
convertible,[形]改造[改装]できる
conveyance,[名]運搬
convoy,[名]護衛隊
coral,[名]さんご
coronation,[名]戴冠（式）、即位（式）
countdown,[名]秒読み
counteract,[動]和らげる
counterclockwise,[形]左回り、反時計方向
courier,[名]宅配便業者、宅配便
courtroom,[名]法廷
covenant,[名]契約（条項）
covet,[動]むやみに欲しがる
crafty,[形]ずる賢い
crank,[名]変人、クランク
creditable,[形]賞賛に値する
creepy,[形]むずむずする、ぞっとする
crib,[名]ベビーベッド
crossed,[形]十文字に置いた，交差した
crucify,[動]十字架にかける
culminate,[動]最高潮に達する
culprit,[名]犯罪者
cumulative,[形]累積する
custodian,[名]管理人
cutlery,[名]食卓用刃物
dainty,[名]うまいもの
dangle,[動]ぶら下がる、ぶら下げる
debris,[名]破片、がれき
debtor,[名]債務者
decease,[名]死亡
deceased,[名]故人
deduce,[動]推論する
default,[名]債務不履行
defer,[動]延期する、延ばす
defiance,[名]抵抗、挑戦
defiant,[形]反抗的な
deficient,[形]不足した、欠陥のある
definitive,"[形]決定的な
deflect,[動]そらせる
delinquent,[名]非行少年
delude,[動]欺く、惑わす
demise,[名]死亡、消滅
demolish,[動]取り壊す
denim,[名]デニム
deplore,[動]遺憾に思う
deploy,[動]配置する、配備する
derivative,[名]派生商品
deserving,[形]値する
detector,[名]探知器
detention,[名]勾留
deterrent,[名]戦争抑止力
devastating,[形]破壊的な、ひどい
devout,[形]信心深い
dexterity,[名]器用さ、機敏さ
diagnose,[動]診断する
diarrhea,[名]下痢
diesel,[名]ディーゼル
dietary,[名]食糧
digestive,[名]消化剤
diminutive,[形]小さい，小型の
disable,[動]無能にする
disadvantaged,[形]恵まれない
discernible,[形]認められる、識別できる
discrepancy,[名]食い違い、不一致
disgraceful,[形]恥ずべき
dishonesty,[名]不正直
disintegrate,[動]崩壊させる
dismantle,[動]分解する
disorderly,[形]秩序を乱す
dispel,[動]追い散らす、払い去る
disperse,[動]分散する
disquiet,[名]動揺
dissident,"[形]意見を異にする
diversify,[動]多様化する
divisional,[形]部分的な
dominion,[名]支配権、支配
dormant,[形]休眠中の、休止中の
dripping,[名]滴下，したたり
dropping,[名]一滴、しずく
drummer,[名]ドラム奏者
dual,[形]二重の
duckling,[名]アヒルの子
duet,[名]デュエット
duo,[名]２人組
dusky,[形]陰うつな
dwindle,[動]次第に減少する
economize,[動]経済的に使用する
eerie,[形]気味の悪い
egocentric,[形]自己中心的な
egotistic,[形]自己中心癖の
eject,[動]追い出す
electorate,[名]有権者
elevated,[形]気高い
elicit,[動]誘い出す 導き出す
eligible,[形]適格で
elude,[動]逃れる
elusive,[形]捕らえにくい
embargo,[名]通商禁止
embed,[動]はめ込む
embryo,[名]胎児、胚
eminence,[名]高名
empirical,[形]実験に基づいた
emulate,[動]真似る
enact,[動]制定する
encompass,[動]取り巻く、包囲する
endangered,[形]絶滅の危機に瀕した
engrave,[動]彫る
engulf,[動]飲み込む
enigmatic,[形]不思議な、不可解な
ensue,[動]続いて起こる
entail,[動]必然的に伴う
entitlement,[名]権利｛けんり｝、資格
envisage,[動]見る、 予見する
envision,[動]心に描く
envoy,[名]使節、使者
enzyme,[名]酵素
equalize,[動]等しくする
eradicate,[名]根絶する
erection,[名]直立，起立
erode,[動]腐食する、浸食する
erosion,[名]浸食
erratic,[名]不規則な、風変わりな
exaltation,[名]有頂点
exasperate,[動]憤慨させる
exemplify,[動]例示する
existential,[形]存在の、実存主義の
exodus,[名]大量移住
expectancy,[名]期待、予期
expectant,[名]志望者
exposition,[名]展覧会
expressly,[形]はっきりと、明白に
expulsion,[名]除名、排除
extraction,[名]抽出、摘出
fabricate,[動]組み立てて製造する
facade,[名]かけ，外見
facet,[名]宝石の小面
facile,[形]容易な
facing,[名]へり取り、縁飾り
fanatic,[名]狂信者
fateful,[形]運命を決する
fatty,[名]でぶちゃん
faulty,[形]欠陥のある
feasible,[形]実行可能な
feign,[動]のふりをする
ferocious,[形]猛烈な
ferret,[動]捜し出す，探索する
fervor,[名]熱情、白熱
feudalism,[名]封建制度
fidelity,[名]忠誠
figurative,[形]比喩的な
fineness,[名]洗練
firing,[名]発火
fixing,[名]修理、固定
flank,[名]わき腹
flare,[名]炎の輝き
flattering,[形]お世辞の
flawless,[形]欠点のない
flick,[名]映画
flicker,[動]明滅する，ちらちらする.
flint,[名]火打ち石
flirt,[動]ふざける，いちゃつ
flooring,[名]床材
flop,[名]ばたばたする音
floppy,[名]フロッピーディスク
flowering,[名]開花
focal,[形]焦点の
foothold,[名]足がかり
foremost,[形]第一の、一流の
foresight,[名]先見の明
forge,[動]形作る、偽造する
fortify,[動]強化する、活力を与える
fortress,[名]要塞
fracture,[名]骨折
fragmentary,[形]断片的な
franchise,[名]選挙権、販売権
fraternity,[名]兄弟愛、友愛
fraught,[形]はらんで，伴って
fray,[動]ぼろぼろにする
frenzy,[名]乱心、熱狂、狂乱
freshwater,[形]淡水の
fret,[動]いらいらさせる，悩ます
frill,[名]余分な飾り、虚飾
frosty,[形]霜の降りる、凍る寒さの
fruitless,[形]実を結ばない
fugitive,[名]逃亡者
fumble,[動]手探りする
fume,[名]煙
fundraising,[名]資金調達
fungus,[名] 真菌類，菌類
furnishing,[名]家具の取付、供給
fuse,[動]溶解[融解]させる
gadget,[名]便利な小道具
gag,[名]口止め
gallant,[形]勇敢な
gape,[動]ぽかんと大口をあける
gastric,[形]胃の
gee,[名]まあ
generality,[名]概略、概論
genial,[形]親切な
geometric,[形]幾何学的な
ghostly,[形]幽霊のような
gig,[名]請負などの仕事
gin,[名]〔酒の〕ジン
gingerly,[形]用心深い
glamorous,[形]魅力に満ちた
glamour,[名]魅力、性的魅力
gland,[名]腺
gloss,[名]光沢
glossary,[名]用語集
glossy,[形]光沢のある
granite,[名]花崗岩
graveyard,[名]墓地
gravitation,[名]引力、重力
greasy,[形]油でよごれた
grenade,[名]手榴弾、催涙弾
greyhound,[名]快速の猟犬
grievance,[名]苦情、不満
grimace,[名]しかめっ面
groove,[名]溝
groundless,[形]根拠のない
guild,[名]同業組合
guiltless,[形]罪のない
gymnastics,[名]体育、体操
hack,[動]たたき切る
hale,[形]元気｛げんき｝のいい
hamper,[動]阻止する、妨げる
handiwork,[名]手仕事、仕業
haughty,[形]高慢な
haunted,[形]幽霊の出る
havoc,[名]大破壊
headteacher,[名]校長
heartache,[名]心痛
heartbreak,[名]断腸の思い
heartless,[形]無情な
heave,[動]持ち上げる
hectare,[名]ヘクタール
helm,[名]操舵装置
herbal,[形]薬草の、草の
hideous,[形]ぞっとするような
hierarchical,[形]階層制の
hoard,[動]貯蔵する
hog,[名]豚
homely,[形]家庭的な、魅力の無い
homestead,[名]農場
huddle,[名]群れ、寄せ集め
hue,[名]色合い、色彩
hype,[名]ごまかし、誇大広告
hysteria,[名]病的興奮、熱狂
iceberg,[名]氷山
imminent,[形]差し迫った
immovable,[形]動かせない
impediment,[名]障害
impending,[形]差し迫った
imperative,[名]命令法
imperialist,[名]帝国主義者
impetus,[名]刺激
implicate,[動]含蓄する、巻き込む
improvise,[動]即興で演奏する
inadvertently,[副]不注意にも
inaugural,[名]就任演説
inaugurate,[動]就任させる
inauguration,[名]就任
incense,[名]香
incomparable,[形]比較できない、無比の
incompetent,[形]無能な
inconspicuous,[形]目立たない、地味な
incumbent,[名]現職者
indefinite,[形]不明確な
indict,[動]起訴する
indictment,[名]起訴
indigenous,[形]その土地固有の
indigestion,[名]消化不良
indistinct,[形]はっきりしない
inducement,[名]誘因
inertia,[名]慣性、惰性、不活発
infamous,[形]悪名高い
infantry,[名]歩兵
infinity,[名]無限
inflammatory,[形]怒りをかきたてる
inflate,[動]ふくらませる
influenza,[名]インフルエンザ
influx,[名]流入
ingratitude,[名]感謝しないこと
inhibition,[名]抑制、抑圧
injurious,[形]有害な
inmate,[名]収容者、同室者
innermost,[名]最も内側の部分
instability,[名]不安定、不安定状態
installment,[名]分割払いの一回分
insulate,[動]絶縁する
insurer,[名]保険会社・業者
interdependent,[形]互いに頼り合う
intermediary,[名]媒介者、媒介、手段
interrogation,[名]尋問
intriguing,[形]興味をそそる
invalidate,[動]無効にする
invariable,[形]不変の
invert,[動]逆にする，反対にする
investigative,[形]調査の
invincible,[形]無敵の
invoke,[動]訴える
ion,[名]イオン
jargon,[名]専門語
jeopardize,[動]危険にさらす
jolt,[動]揺すぶる
jumbo,[名]巨大なもの
lag,[動]遅れる
lamentable,[形]悲しむべき、みじめな
lance,[名]槍、槍騎兵
larva,[名]幼虫（単数）
latent,[形]隠れている，見えない
lather,[動]せっけんの泡を塗る
laughable,[形]おかしい
laurel,[名]月桂冠、栄誉
lawmaking,[名]立法
lax,[形]だらしのない
leaning,[名]傾き
legality,[名]合法
legislator,[名]立法者、立法府の議員
leverage,[名]てこの作用，影響力
levy,[動]課税する
liaison,[名]連絡
liberalize,[動]自由化する
lilac,[名]薄紫色
lineup,[名]構成、番組予定表
liquidity,[名]流動資金
livestock,[名]家畜
locust,[名]バッタ
loft,[名]屋根裏
logo,[名]ロゴ、モットー
longstanding,[形]積年の
loom,[名]はた織り機
loot,[名]戦利品、盗品
lousy,[形]ひどい、劣った
lull,[名]小康
magnificence,[名]壮大さ
mainframe,[名]大型コンピューター
malignant,[形]悪性の、有害な
malt,[名]麦芽酒
manageable,[形]扱いやすい
managerial,[形]経営上の
mandate,[名]委任、権限
mandatory,[形]義務的な，強制の
mania,[名]異常な熱中
maniac,[名]狂人、熱中者
mantelpiece,[名]マントルピース、炉棚
manure,[名]肥料
margarine,[名]マーガリン
maritime,[形]海の
martyr,[名]殉教者
matching,[形]調和する
maternity,[名]母であること、母性
mediation,[名]調停
melodramatic,[形]メロドラマ風な
mentor,[名]良き指導者
mermaid,[名] (女の)人魚、マーメイド
methodical,[形]秩序立った
methodology,[名]方法、やり方
meticulous,[形]極めて注意深い
microscopic,[形]非常に小さな
midland,[名]中部
midsummer,[名]夏至
midwife,[名]助産婦
migrant,[名]移住者、渡り鳥
militia,[名]民兵
millstone,[名]ひき臼
mince,[名]こま切れ肉
minimal,[形]最少量の
minutely,[副]細かく
misconception,[名]見当違いの考え
misconduct,[名]不正行為
mishap,[名]災難
modernism,[名]現代主義，モダニズム
modernist,[名]現代主義者
moisten,[動]湿らせる
molecular,[形]分子の
momentous,[形]重大な
monastery,[名]修道院
monotone,[名]一本調子、単調さ
monumental,[形]記念碑の
moratorium,[名]支払猶予期間
mortar,[名]モルタル，しっくい
mosque,[名]イスラム教寺院
motel,[名]モーテル 《旅行者の宿泊所》
motherly,[形]母の
mountaineer,[名]登山家、山岳民
muddle,[名]混乱
mug,[名]マグ
multicultural,[形]多文化的な
mundane,[形]ありふれた
muster,[名]召集
mutation,[名]突然変異、変化
mystic,[形]秘法の，秘伝の
mythical,[形]架空の、神話の
narcotic,[名]麻酔剤、麻薬
naturalist,[名]自然主義者、博物学者
necessitate,[動]必要とする
neglectful,[形]不注意な
neon,[名]ネオン 《元素記号 Ne》
neurotic,[形]神経質な
neutron,[名]中性子
newsagent,[名]新聞販売業者
niche,[名]ニッチ市場、隙間産業
nomadic,[形]遊牧の
nominee,[名]指名された人
noonday,[名]正午
nostalgia,[名]郷愁、懐かしさ
notch,[名]刻み目
nuance,[名]微妙な差異
numb,[動]麻痺させる
nymph,[名]妖精
oatmeal,[名]オートミール
objectionable,[形]不快な
obliterate,[動]消し去る、痕跡をなくす
oblivious,[形]忘れっぽい、ぼんやりした
observant,[形]用心深い、機敏な
occult,[名]神秘，オカルトの
octave,[名]オクターブ
onset,[名]開始、着手
opportune,[形]時宜を得た、好都合な
ordain,[動]定める
ornate,[形]飾り立てた
orthodoxy,[名]正統派
oust,[動]解雇する、解任する
outburst,[名]爆発、ほとばしり
