seethe,[動]煮えくり返る
tableau,[名]絵画、活人画
tadpole,[名]おたまじゃくし
talisman,[名]お守り
talon,[名]爪、かぎづめ状のもの
tantalize,[動]じらす、気を持たせる
tardy,[名]遅参
tarry,[動]滞在する
tempestuous,[形]大あらしの
tenancy,[名]借家、借地、小作地
tenement,[名]借家、アパート
tentacle,[名]触手、触糸、触毛
terminology,[名]専門用語
terrestrial,[形]陸上の
tetanus,[名]破傷風
tether,[名]つなぎ繩、範囲、限界
thatch,[名]わらぶき屋根
therein,[副]その中に
thesaurus,[名]類語辞典
thimble,[名]指貫、はめ輪
thoroughbred,[名]サラブレッド
thoroughfare,[名]大通り
thrash,[動]打ちのめす
threadbare,[形]すり切れた
thrifty,[形]節約的な
thud,[名]ドサッという音
tithe,[名]10分の1
toad,[名]ヒキガエル、いやなやつ
tongs,[名]物を挟む道具
topography,[名]地形学、地形
totter,[動]よろよろ歩く、よろめく
tranquilize,[動]落ち着かせる、静める
transitory,[形]はかない
tremulous,[形]震える、おののく
trident,[名]やりなどの三叉道具
trite,[形]使い古された
tropic,[名]熱帯地方
trough,[名]樋、溝
truant,[名]怠け者
turnpike,[名]有料高速道路
twitter,[名]さえずり
typhoid,[名]腸チフス
uncouth,[形]粗野な
underpin,[動]補強する、支持する
undue,[形]過度の、不適当な
unequivocal,[形]疑う余地のない
unfurl,[動]広げる
ungainly,[形]見苦しい
unkempt,[形]手入れのされていない
unobtrusive,[形]慎み深い
unscathed,[形]無傷の
unscrupulous,[形]無法な、不徳な
untenable,[形]擁護できない
upholstery,[名]室内装飾品
upmarket,[形]高所得者向けの、高級な
urbane,[形]洗練された、丁重な
urn,[名]つぼ、骨つぼ
usurp,[動]不法に手に入れる
vacate,[動]立ち退く
vagabond,[名]放浪者
vale,[名]谷，谷間
valiant,[形]勇気ある、勇敢な
valor,[名]勇気
vane,[名]風見、翼、視準板
vanquish,[動]破る
vantage,[名]利益、優勢、有利な立場
variegated,[形]変化に富んだ
vat,[名]大おけ
vector,[名]ベクトル
vehement,[形]激烈な、熱烈な
venom,[名]毒液
venomous,[形]有毒な
ventilation,[名]換気
vested,[形]既得の
vestige,[名]痕跡、名残
veterinarian,[名]獣医
vicinity,[名]付近
vindictive,[形]執念深い、報復の
virile,[形]男らしい、力強い
visage,[名]顔、顔つき、容貌
vivacious,[形]活発な
vociferous,[形]騒々しい、言い張った
volition,[名]意志
voluble,[形]舌のよくまわる
voluptuous,[形]官能的な
vouch,[動]保証する
vulgarity,[名]下品、野卑、俗悪
vulture,[名]ハゲタカ
waft,[名]浮動
wand,[名]棒、指揮棒
wanton,[形]理由のない，むちゃくちゃな
warble,[名]さえずり、震え声
wart,[名]いぼ、こぶ
wavelength,[名]波長
wean,[動]乳離れさせる
welter,[名]雑然とした状態
wheedle,[動]甘言で誘う
wheeze,[名]ゼイゼイいう音
whet,[名]研磨、刺激
whimper,[名]しくしく泣く声
whirlpool,[名]渦
whisker,[名]ほおひげ
whitewash,[名]しっくい
wicker,[名]枝編み細工
wont,[名]習慣
wrest,[名]ねじり
wriggle,[名]身をくねらせること
writhe,[動]もだえ苦しむ 
xenophobia,[名]外国人恐怖症
zenith,[名]頂点、絶頂
zest,[名]熱意
zodiac,[名]十二宮図
